Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,18.400,180.066,94.529,129.269,147.033,225.019,263.365,343.593,471.934,471.934,0.006
5,19.600,147.831,121.215,126.649,135.584,155.794,195.150,227.345,281.211,281.211,0.007
10,18.000,161.136,120.568,125.798,137.064,168.586,235.795,291.174,470.629,470.629,0.006
15,19.200,144.034,120.440,124.279,131.798,144.965,199.191,230.232,289.523,289.523,0.007
20,17.800,154.184,121.557,126.420,132.893,167.779,219.525,246.641,298.526,298.526,0.006
25,21.600,145.389,119.470,124.679,127.866,152.083,192.854,201.670,313.720,352.018,0.007
30,18.200,153.552,119.187,124.669,133.718,159.800,203.347,264.068,460.197,460.197,0.007
35,18.600,160.585,119.205,127.065,139.127,162.015,240.371,293.394,451.410,451.410,0.006
40,16.400,148.442,119.436,125.258,132.458,154.807,196.345,249.709,347.637,347.637,0.007
45,17.600,156.874,119.953,123.696,134.644,169.245,244.100,276.108,356.652,356.652,0.006
50,16.400,152.008,118.909,124.173,133.648,155.883,219.384,253.677,295.913,295.913,0.007
55,18.600,147.621,118.403,123.762,127.939,155.525,197.686,237.643,391.060,391.060,0.007
60,3.200,147.761,122.692,130.095,136.354,161.655,200.549,249.188,249.188,249.188,0.007
