Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,182.000,2.761,1.124,2.032,2.536,3.274,4.210,4.806,5.980,8.693,0.362
5,176.400,2.405,1.070,1.793,2.251,2.746,3.554,4.158,4.951,7.081,0.416
10,205.600,2.388,1.056,1.737,2.207,2.755,3.780,4.294,4.908,5.835,0.419
15,216.200,2.361,0.956,1.680,2.204,2.740,3.635,4.357,5.030,5.559,0.424
20,205.600,2.361,1.021,1.751,2.206,2.732,3.553,4.073,4.892,5.686,0.424
25,206.000,2.274,0.847,1.632,2.113,2.636,3.690,4.111,4.682,7.409,0.440
30,214.600,2.325,0.841,1.679,2.142,2.694,3.572,4.184,4.997,8.952,0.430
35,204.000,2.510,0.965,1.715,2.201,2.876,3.852,4.367,9.811,16.409,0.398
40,217.400,2.255,1.000,1.671,2.119,2.606,3.461,4.066,4.499,5.135,0.443
45,202.400,2.283,0.805,1.643,2.114,2.636,3.553,4.100,4.850,7.129,0.438
50,209.600,2.341,0.934,1.704,2.148,2.700,3.710,4.250,4.760,10.208,0.427
55,214.800,2.242,0.879,1.679,2.101,2.577,3.381,4.017,4.729,5.517,0.446
60,43.600,2.209,1.026,1.614,2.068,2.568,3.414,3.997,4.821,4.904,0.453
