Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,1103.400,1.535,0.867,1.364,1.444,1.626,1.965,2.218,3.165,14.183,0.651
5,1110.400,1.522,0.848,1.335,1.435,1.643,1.999,2.230,3.132,5.705,0.657
10,1143.000,1.501,0.865,1.334,1.436,1.614,1.938,2.130,2.659,14.363,0.666
15,1150.600,1.478,0.835,1.334,1.428,1.578,1.884,2.019,2.483,5.505,0.677
20,1107.600,1.485,0.815,1.325,1.429,1.578,1.911,2.094,2.827,8.857,0.673
25,1229.400,1.401,0.838,1.212,1.401,1.491,1.699,1.929,2.532,5.678,0.714
30,1120.400,1.476,0.810,1.302,1.415,1.560,1.908,2.108,2.756,17.968,0.677
35,1099.800,1.476,0.851,1.290,1.433,1.577,1.907,2.102,2.759,8.668,0.677
40,1124.200,1.512,0.853,1.324,1.434,1.626,1.986,2.182,2.815,17.322,0.661
45,1176.200,1.464,0.848,1.270,1.422,1.566,1.909,2.080,2.751,8.421,0.683
50,1146.000,1.461,0.853,1.264,1.418,1.560,1.918,2.123,2.737,5.325,0.685
55,1175.600,1.405,0.824,1.220,1.405,1.498,1.704,1.903,2.299,10.867,0.712
60,255.400,1.407,0.889,1.287,1.419,1.494,1.671,1.881,2.126,5.329,0.711
