Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,102.400,27.790,22.425,24.358,26.136,29.262,35.142,38.711,47.502,58.541,0.036
5,102.200,28.510,21.686,24.563,26.575,30.702,36.088,39.985,47.780,60.071,0.035
10,100.200,28.283,21.872,24.612,26.453,30.645,35.683,40.140,45.128,46.689,0.035
15,101.400,27.801,22.030,24.388,26.986,30.492,33.409,35.433,39.101,42.922,0.036
20,105.400,27.807,21.820,24.357,26.532,30.228,33.228,35.633,44.618,60.866,0.036
25,120.600,26.017,21.797,23.690,24.795,27.066,31.170,33.116,39.297,50.918,0.038
30,108.600,27.553,21.981,24.066,25.541,29.771,34.930,37.560,42.721,52.656,0.036
35,111.000,28.079,21.931,24.090,26.047,30.410,35.150,39.407,48.009,55.414,0.036
40,104.600,28.072,22.045,24.273,26.250,30.517,35.525,38.811,46.294,56.722,0.036
45,107.800,27.408,21.576,23.925,25.371,29.778,34.423,37.080,42.941,56.692,0.036
50,106.600,27.592,21.756,23.905,25.553,29.597,35.255,39.153,46.958,62.245,0.036
55,119.000,26.384,21.405,23.793,25.079,27.949,31.857,34.561,37.694,41.166,0.038
60,23.200,26.406,22.183,24.319,25.728,27.997,30.703,32.705,35.708,37.658,0.038
