Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,228.800,19.038,2.939,8.313,12.028,21.817,45.132,48.280,79.910,86.489,0.053
5,369.200,12.047,1.858,7.125,9.444,12.551,16.744,40.803,47.184,77.338,0.083
10,463.200,9.743,1.233,7.111,9.504,12.193,14.396,15.597,17.289,32.222,0.103
15,491.200,8.786,1.492,6.279,8.406,10.828,13.218,14.630,16.411,19.721,0.114
20,411.600,10.688,1.526,7.414,9.620,12.493,14.957,16.492,42.408,54.297,0.094
25,408.400,11.169,1.376,7.097,9.457,12.560,15.414,26.824,46.828,52.119,0.090
30,447.800,9.556,2.180,7.056,9.328,11.949,14.134,15.225,17.016,23.164,0.105
35,465.000,9.405,1.230,7.156,9.258,11.401,13.936,14.997,16.858,19.204,0.106
40,368.600,12.199,1.477,8.364,10.916,14.302,19.365,23.523,28.959,80.253,0.082
45,354.200,12.850,1.930,8.257,10.589,13.674,17.512,38.164,45.944,77.153,0.078
50,379.600,11.910,2.279,7.936,10.465,13.207,16.400,27.481,45.142,82.365,0.084
55,320.600,14.223,1.686,8.917,11.943,16.533,24.867,30.156,42.635,114.665,0.070
60,62.400,15.961,4.476,10.053,12.780,15.922,37.486,42.004,47.749,49.819,0.063
