Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,705.200,14.060,0.908,6.806,9.935,14.655,19.992,42.487,87.190,328.128,0.071
5,649.600,15.382,0.495,6.270,9.350,14.501,39.288,49.007,91.899,199.767,0.065
10,731.400,13.585,0.454,5.982,8.857,13.344,21.023,45.403,88.987,147.541,0.074
15,587.200,17.038,0.685,6.148,9.855,16.698,40.616,53.441,97.528,141.096,0.059
20,554.400,18.083,0.347,6.330,10.894,20.722,40.465,62.440,96.208,147.012,0.055
25,575.800,17.326,0.569,6.169,10.834,20.093,37.805,59.525,95.787,144.357,0.058
30,784.400,12.730,0.241,5.993,8.408,13.027,18.493,39.350,88.761,142.923,0.079
35,752.000,13.260,0.280,5.819,8.549,13.531,24.272,45.270,90.234,189.044,0.075
40,590.800,16.865,0.405,6.282,10.902,18.301,38.140,48.805,94.960,137.150,0.059
45,801.200,12.471,0.333,5.679,8.183,12.918,19.592,37.698,90.631,105.623,0.080
50,839.000,11.898,0.300,5.224,7.431,12.296,18.255,39.406,86.663,110.957,0.084
55,795.600,12.551,0.341,5.580,8.420,13.416,19.447,37.378,90.176,104.086,0.080
60,179.000,10.898,0.480,4.985,7.337,11.947,15.455,30.388,88.629,96.693,0.092
