Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,101.200,0.891,0.217,0.473,0.740,1.230,1.598,1.771,2.375,3.234,1.123
5,93.400,0.916,0.211,0.477,0.763,1.267,1.708,1.932,2.436,2.938,1.091
10,88.800,0.847,0.224,0.470,0.715,1.125,1.551,1.756,2.279,3.142,1.181
15,102.000,0.793,0.181,0.421,0.618,1.115,1.558,1.721,2.247,2.936,1.260
20,88.200,0.845,0.233,0.459,0.686,1.126,1.587,1.758,2.206,4.998,1.183
25,92.600,0.867,0.210,0.466,0.718,1.205,1.549,1.916,2.301,3.059,1.153
30,85.800,0.836,0.205,0.471,0.684,1.156,1.571,1.694,2.107,5.761,1.196
35,92.600,0.862,0.210,0.433,0.677,1.201,1.607,1.806,2.364,5.326,1.160
40,94.800,0.808,0.191,0.397,0.635,1.131,1.542,1.751,2.177,4.955,1.238
45,87.000,0.854,0.216,0.447,0.719,1.203,1.650,1.781,2.070,2.339,1.171
50,91.600,0.773,0.165,0.391,0.637,1.027,1.533,1.781,2.219,2.440,1.293
55,84.400,0.877,0.208,0.436,0.729,1.224,1.647,1.860,2.132,2.490,1.140
60,18.400,0.794,0.219,0.364,0.586,1.030,1.774,2.079,2.747,2.747,1.259
