Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,0.600,2082.319,574.322,574.322,2043.655,3628.980,3628.980,3628.980,3628.980,3628.980,0.000
5,10.600,137.998,27.322,98.228,115.703,181.435,234.461,305.055,409.031,409.031,0.007
10,8.000,151.440,97.345,124.692,146.235,190.005,213.522,217.801,228.392,228.392,0.007
15,27.200,54.011,10.327,32.532,37.847,57.715,105.428,128.758,183.695,281.831,0.019
20,25.000,64.304,26.332,36.371,42.646,97.656,131.908,138.685,147.408,148.531,0.016
25,30.800,52.980,22.848,33.762,37.904,67.475,98.561,112.771,145.601,180.550,0.019
30,28.000,49.499,23.607,33.458,39.932,63.638,80.931,91.303,114.367,129.927,0.020
35,40.000,38.198,23.905,31.332,34.511,38.241,48.359,70.851,103.400,108.825,0.026
40,29.600,45.133,19.249,30.223,34.277,42.537,92.359,100.885,141.286,154.321,0.022
45,38.800,33.959,22.630,30.715,33.755,36.195,39.066,41.662,58.025,63.300,0.029
50,34.400,34.500,18.863,29.832,32.999,37.022,42.113,50.920,62.371,67.948,0.029
55,32.400,40.079,23.710,30.994,34.965,39.787,60.199,88.806,96.886,103.353,0.025
60,5.200,36.101,26.545,29.851,33.136,36.869,54.822,55.410,62.300,62.300,0.028
