Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,16,16.000,193921,330449,552330,609149,921789,1059763,1201547,1201547,1201547
1,14,14.000,270039,271601,456876,673830,610162,995425,3628980,3628980,3628980
2,21,21.000,141795,286878,425864,512318,573010,864902,1006072,2043655,2043655
3,15,15.000,17957,274854,440967,393984,580056,603570,726286,726286,726286
4,128,128.000,6361,12993,42139,44898,53110,84127,92583,141696,574322
5,352,352.000,2511,7020,19040,28362,42060,48622,78522,140415,305055
6,277,277.000,3935,8297,38515,35211,45324,48672,81162,145600,316752
7,332,332.000,1281,7413,33977,30289,41034,48175,51381,164695,409031
8,401,401.000,3030,6522,14273,25408,40952,46464,48906,118208,230789
9,303,303.000,4256,7621,36757,33294,43816,50628,92809,181435,228455
10,232,232.000,4279,35789,40140,41626,45947,73532,79204,195979,228392
11,313,313.000,2922,8285,38074,32524,42169,48756,75742,132167,208988
12,315,315.000,3654,7756,37464,32003,45374,71096,82387,103117,162152
13,248,248.000,3381,10045,38928,40779,44374,74512,112040,176666,214712
14,247,247.000,4131,8647,37787,38036,45142,69303,75715,190915,217801
15,1055,1055.000,1027,5234,6065,9504,11536,15929,25811,44129,109772
16,572,572.000,1057,4109,6481,18187,36046,44599,49839,105428,183695
17,420,420.000,2745,6469,13778,22826,38308,41085,48680,89908,281831
18,939,939.000,1204,6082,8604,10578,13658,16382,18588,40053,65913
19,586,586.000,1240,5966,9477,17601,20104,43269,47468,98762,139971
20,617,617.000,1618,6156,9481,15999,16252,39105,47400,100932,138755
21,826,826.000,1147,6186,8584,11836,13973,16847,36855,45068,121365
22,819,819.000,1276,5977,8829,12346,14462,18735,40034,49957,83070
23,343,343.000,2066,6742,35509,29531,42701,47569,81198,139785,148531
24,332,332.000,1193,6935,36083,29774,43183,47223,51229,134586,139407
25,720,720.000,1498,5765,9338,13672,14830,36586,41763,75359,99422
26,788,788.000,1145,5805,9251,12601,14074,30043,38626,60803,137046
27,784,784.000,2137,6170,9122,12767,14295,21947,38581,71913,101975
28,365,365.000,997,6933,15433,27756,42255,48124,82869,140407,180550
29,619,619.000,777,5801,8326,15867,16575,40543,45458,83323,109372
30,1017,1017.000,1393,5652,6785,9793,13051,15664,17413,37236,46576
31,888,888.000,1052,5900,7892,11432,13187,18214,35235,51829,101498
32,582,582.000,787,6179,14774,16972,23849,31474,38747,69760,91303
33,466,466.000,2023,6649,16816,21534,30283,39347,53140,93371,129927
34,629,629.000,1572,6200,10726,15766,21871,37321,41261,67942,84365
35,580,580.000,1025,6261,10893,17171,16953,42753,47346,86420,108825
36,948,948.000,1068,5982,8874,10534,13426,16372,18466,36929,85340
37,962,962.000,1132,5989,7810,10403,13259,16354,20424,39633,62626
38,962,962.000,982,5936,7816,10367,13475,16609,18901,37249,49333
39,956,956.000,1099,5863,7301,10427,13529,16758,21860,37525,73735
40,962,962.000,3014,6236,8317,10400,13156,15871,18852,36603,65800
41,412,412.000,1437,6569,12966,24113,38848,46000,48371,101563,141286
42,473,473.000,1217,6230,11338,21213,35965,45215,57778,131400,137710
43,964,964.000,1110,5947,8385,10280,12972,15939,17995,38339,61432
44,661,661.000,1244,5790,7516,15212,16924,39199,45277,64026,154321
45,973,973.000,897,6070,8194,10214,12888,16123,18412,36474,47174
46,1005,1005.000,1078,6071,7367,9959,13306,15842,17344,35027,48509
47,984,984.000,1162,6036,7739,10108,13088,15925,17918,36393,63300
48,975,975.000,917,6071,8325,10250,13032,15977,18017,36924,58025
49,976,976.000,1060,6058,7953,10229,13510,16266,19030,36115,47758
50,991,991.000,1040,5912,8354,10023,13115,16015,17574,36878,62371
51,982,982.000,1088,5924,7800,10181,12986,15836,18238,36593,61217
52,979,979.000,902,6163,8607,10220,13293,16126,17889,36538,67948
53,1008,1008.000,1103,5944,7898,9899,12992,15736,17556,35906,46160
54,954,954.000,670,6108,8393,10434,13404,17002,19372,38256,58502
55,524,524.000,1145,6250,11355,19449,36633,44493,46715,92045,103353
56,890,890.000,1109,6243,9073,10964,13478,16626,29876,39699,92807
57,832,832.000,969,6496,9710,12101,14473,18466,29789,76758,89294
58,871,871.000,1227,6401,10335,11359,14682,17977,21648,43024,50126
59,854,854.000,901,6351,10623,11725,14959,18232,23275,41440,62310
60,857,857.000,1097,6177,8507,10291,13387,15941,18587,34986,62300
