Round	Start	End	Benchmark_Elapsed	Tuning_overhead
1	1748480120.9736674	1748480499.5040548	378.5303874015808	0.0
2	1748480499.5470784	1748480874.0237458	374.4766674041748	0.04302358627319336
3	1748480874.068806	1748481254.737871	380.6690649986267	0.045060157775878906
4	1748481254.7904284	1748481622.0509784	367.26055002212524	0.05255746841430664
5	1748481622.1174502	1748482022.8348827	400.7174324989319	0.06647181510925293
6	1748482022.878505	1748482383.7095556	360.83105063438416	0.04362225532531738
7	1748482383.7597423	1748482728.066219	344.30647683143616	0.0501866340637207
8	1748482728.1166935	1748483100.1813133	372.0646197795868	0.05047440528869629
9	1748483102.3453186	1748483452.0723133	349.7269947528839	2.1640052795410156
10	1748483452.0992284	1748483828.237834	376.138605594635	0.02691507339477539
11	1748483828.2738552	1748484207.6349852	379.36112999916077	0.03602123260498047
12	1748484207.688514	1748484594.7278268	387.03931283950806	0.053528785705566406
13	1748484594.7801266	1748484956.6675534	361.88742685317993	0.05229973793029785
14	1748484956.680564	1748485345.8456507	389.1650867462158	0.013010501861572266
15	1748485345.8597977	1748485739.6281798	393.76838207244873	0.014147043228149414
16	1748485739.671638	1748486131.0374167	391.3657786846161	0.04345822334289551
17	1748486131.0869408	1748486472.7612376	341.6742968559265	0.04952406883239746
18	1748486475.0388722	1748486840.4368901	365.3980178833008	2.277634620666504
19	1748486840.4953275	1748487207.1831517	366.6878242492676	0.058437347412109375
20	1748487207.2427802	1748487578.4017432	371.1589629650116	0.05962848663330078
21	1748487578.4606884	1748487939.496626	361.0359375476837	0.0589451789855957
22	1748487939.5572987	1748488285.7133915	346.1560928821564	0.060672760009765625
23	1748488285.7535508	1748488663.9080722	378.1545214653015	0.04015922546386719
24	1748488663.9227324	1748489054.60708	390.6843476295471	0.014660120010375977
25	1748489054.7252932	1748489422.5381434	367.8128502368927	0.11821317672729492
26	1748489424.6665742	1748489789.3176558	364.65108156204224	2.1284308433532715
27	1748489789.3460808	1748490164.9057431	375.55966234207153	0.028424978256225586
28	1748490164.9574337	1748490531.9948506	367.03741693496704	0.05169057846069336
29	1748490532.0559077	1748490917.4510605	385.3951528072357	0.061057090759277344
30	1748490917.5014923	1748491294.27817	376.77667784690857	0.05043172836303711
31	1748491294.3449502	1748491674.266913	379.9219627380371	0.06678009033203125
32	1748491674.3198187	1748492044.2888665	369.9690477848053	0.05290579795837402
33	1748492046.8649726	1748492415.863396	368.9984233379364	2.576106071472168
34	1748492415.92455	1748492779.6179247	363.69337463378906	0.06115412712097168
35	1748492779.687673	1748493135.4218016	355.7341284751892	0.0697484016418457
36	1748493135.492448	1748493520.4658232	384.973375082016	0.07064652442932129
37	1748493520.5242126	1748493895.2592719	374.735059261322	0.05838942527770996
38	1748493895.3294623	1748494268.1003122	372.770849943161	0.0701904296875
39	1748494268.1723545	1748494652.3517349	384.1793804168701	0.07204222679138184
40	1748494652.3699677	1748495013.6430638	361.2730960845947	0.01823282241821289
41	1748495016.1776965	1748495382.7261038	366.5484073162079	2.534632682800293
42	1748495382.8004284	1748495756.432446	373.6320176124573	0.0743246078491211
43	1748495756.474264	1748496125.1478682	368.6736042499542	0.04181790351867676
44	1748496125.22656	1748496511.6638358	386.43727564811707	0.07869195938110352
45	1748496511.7270904	1748496899.3382776	387.61118721961975	0.06325459480285645
46	1748496899.3945935	1748497202.344675	302.95008158683777	0.05631589889526367
47	1748497202.4233558	1748497497.3647804	294.9414246082306	0.07868075370788574
48	1748497497.447212	1748497850.8624623	353.4152503013611	0.08243155479431152
49	1748497853.3203573	1748498218.819367	365.4990096092224	2.457895040512085
50	1748498218.8950338	1748498588.9639266	370.06889271736145	0.07566690444946289
51	1748498589.0450108	1748498952.7227044	363.677693605423	0.0810842514038086
52	1748498952.804874	1748499309.7893813	356.9845073223114	0.0821695327758789
53	1748499309.8714275	1748499687.0941842	377.2227566242218	0.0820462703704834
54	1748499687.1829107	1748500062.1962616	375.01335096359253	0.08872652053833008
55	1748500062.2424307	1748500444.8706007	382.62817001342773	0.04616904258728027
56	1748500444.9634676	1748500820.8506527	375.8871850967407	0.09286689758300781
57	1748500823.4327881	1748501182.8372319	359.4044437408447	2.5821354389190674
58	1748501182.9182665	1748501522.40101	339.4827435016632	0.08103466033935547
59	1748501522.42643	1748501891.1623976	368.7359676361084	0.025419950485229492
60	1748501891.2495785	1748502267.5291743	376.2795958518982	0.08718085289001465
61	1748502267.5606163	1748502619.6740794	352.11346316337585	0.03144192695617676
62	1748502619.7638788	1748502994.6621227	374.89824390411377	0.08979940414428711
63	1748502994.7346237	1748503374.457565	379.7229413986206	0.07250094413757324
64	1748503374.5440285	1748503746.524196	371.980167388916	0.08646345138549805
65	1748503746.7067814	1748504055.171959	308.46517753601074	0.1825854778289795
66	1748504057.8820522	1748504395.1313314	337.2492792606354	2.7100932598114014
67	1748504395.1611989	1748504764.020471	368.8592722415924	0.02986741065979004
68	1748504764.092985	1748505126.030971	361.9379861354828	0.07251381874084473
69	1748505126.1159008	1748505456.1072218	329.99132108688354	0.0849297046661377
70	1748505456.1889088	1748505757.6898367	301.50092792510986	0.08168697357177734
71	1748505757.7867382	1748506103.3994913	345.6127531528473	0.09690141677856445
72	1748506103.483184	1748506484.803342	381.32015800476074	0.08369278907775879
73	1748506487.5201912	1748506866.9048455	379.38465428352356	2.7168490886688232
74	1748506866.9971137	1748507261.5339258	394.53681206703186	0.09226822853088379
75	1748507261.6312294	1748507650.0335143	388.40228486061096	0.09730362892150879
76	1748507650.1381552	1748508033.94333	383.8051748275757	0.10464096069335938
77	1748508034.042795	1748508408.8212125	374.7784175872803	0.09946489334106445
78	1748508408.977629	1748508806.406107	397.4284780025482	0.1564164161682129
79	1748508806.5101533	1748509188.2211595	381.7110061645508	0.10404634475708008
80	1748509188.3275979	1748509542.670796	354.3431980609894	0.10643839836120605
