Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,140.600,29.316,4.361,12.770,19.475,45.390,50.235,56.457,83.210,115.249,0.034
5,245.800,17.291,2.791,10.061,13.274,16.963,42.124,46.698,54.428,86.016,0.058
10,293.000,15.286,3.402,9.814,12.503,15.345,27.015,43.787,50.832,85.908,0.065
15,381.600,11.035,0.839,8.586,10.850,13.529,15.552,16.976,18.888,23.502,0.091
20,382.600,10.316,2.106,7.726,9.929,12.701,14.814,16.188,18.717,21.607,0.097
25,318.800,13.271,1.438,8.502,11.207,13.981,17.323,40.733,47.840,84.338,0.075
30,172.400,28.423,2.964,11.180,25.175,44.254,47.657,49.855,81.664,85.879,0.035
35,296.800,14.369,2.846,9.386,11.841,14.794,18.969,41.824,48.338,80.451,0.070
40,279.400,16.099,2.303,9.369,11.764,14.796,40.395,45.679,76.247,112.312,0.062
45,323.800,13.943,1.482,8.809,11.411,14.225,19.020,41.731,49.349,85.113,0.072
50,331.000,13.807,2.756,7.972,10.594,13.958,34.314,42.740,49.188,82.062,0.072
55,410.200,10.703,1.925,7.982,10.348,12.950,15.047,16.333,19.098,47.070,0.093
60,85.400,10.249,2.399,7.789,10.050,12.256,14.457,15.371,17.687,18.560,0.098
