Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,167,167.000,6600,12441,32424,43487,50309,64067,111623,508933,549489
1,476,476.000,3351,7625,10653,20853,22722,44565,52982,151821,427723
2,287,287.000,4647,8549,23607,33517,44686,66956,99300,176505,235532
3,264,264.000,5174,10580,39705,39079,47175,83210,100609,182650,192888
4,388,388.000,3173,8732,13590,24820,40267,50019,81097,106204,193870
5,272,272.000,3606,10808,40803,37105,45621,56823,97057,151863,173406
6,601,601.000,3467,7018,10494,16522,15610,41026,50306,97543,114565
7,719,719.000,2791,6567,9818,13779,14692,18877,45175,80832,91266
8,414,414.000,3404,7781,13078,24343,39873,48336,82717,133458,176313
9,777,777.000,2650,6101,8525,12698,12353,20130,47364,74057,99113
10,639,639.000,1462,6462,10328,15621,14963,40164,49394,94479,117055
11,535,535.000,773,6309,9527,18778,16191,45358,73191,130759,151631
12,607,607.000,1309,6018,9747,16333,15468,40248,50326,100039,121465
13,569,569.000,307,6310,9826,17672,16784,41738,50832,100589,142621
14,766,766.000,479,5927,9222,12883,13162,18257,41919,83023,95434
15,781,781.000,1033,5857,8460,12835,13130,18716,44424,79286,94671
16,802,802.000,2733,5664,8111,12528,12917,19347,38977,80190,105949
17,812,812.000,839,5750,8572,12270,13274,17917,37324,81276,101385
18,895,895.000,446,5391,7211,11214,11802,16142,35068,87993,101982
19,846,846.000,675,5700,8453,11749,11784,15538,36650,74400,88806
20,828,828.000,630,5885,8020,12108,12606,17465,41246,84163,101832
21,848,848.000,238,5722,7762,11612,11660,16959,40091,80808,90143
22,908,908.000,461,5440,7426,11054,10845,19674,37140,76760,89125
23,937,937.000,290,5416,7116,10672,10378,15492,34392,66945,95203
24,831,831.000,828,5626,7581,12012,12482,17450,37534,90155,106739
25,834,834.000,519,5474,7408,12027,11956,23539,45467,77430,105297
26,940,940.000,1229,5500,7243,10640,11277,16420,28706,83729,98397
27,343,343.000,2575,8109,17606,28899,42680,50603,83710,101575,107753
28,849,849.000,1679,5783,7798,11851,12678,16933,34603,89369,103799
29,681,681.000,1174,5890,9324,14884,13480,36953,45406,97668,175760
30,351,351.000,1169,6626,20814,28617,41368,48072,92918,106046,138334
31,545,545.000,817,5783,8787,17978,16800,45271,58266,109673,145390
32,415,415.000,997,6716,11394,24607,39296,47528,75193,106529,220948
33,292,292.000,1437,7694,38055,33813,44838,76721,96331,137511,142302
34,282,282.000,1268,8910,38346,35514,45432,78979,96301,139583,179514
35,610,610.000,993,5863,8739,16239,14495,41246,48192,98299,138511
36,827,827.000,295,5551,7959,12090,11540,19609,42528,84004,104354
37,784,784.000,687,6059,8714,12531,12645,17735,38327,86992,98257
38,578,578.000,1135,6253,10967,17339,16481,40109,49296,98693,131769
39,573,573.000,721,6125,9138,17419,15274,42599,49397,128984,141794
40,831,831.000,846,5692,8165,12046,12627,17327,35491,83660,93793
41,855,855.000,282,5696,8154,11756,11674,16062,38345,78649,96825
42,662,662.000,615,5618,8227,15003,13550,40741,51128,90937,139244
43,261,261.000,2316,8712,38696,39741,45559,76778,93312,164366,215650
44,547,547.000,732,6072,9861,17585,17153,43831,64600,95010,101876
45,503,503.000,1160,6371,11017,19876,23174,43933,69818,100883,137794
46,837,837.000,1168,5387,7228,11803,12021,16790,37333,86028,104898
47,882,882.000,467,5083,7308,11391,11116,16446,38020,79606,92651
48,522,522.000,1190,5855,9928,19636,32696,45820,55803,97128,137633
49,737,737.000,982,6007,9419,13168,13470,20240,38624,88779,107698
50,704,704.000,1015,5968,8810,14742,13902,37986,46343,95136,106353
51,378,378.000,349,6883,13268,25269,39422,49610,90362,101736,130652
52,570,570.000,1332,6005,8999,17586,16071,43315,51826,98049,110884
53,954,954.000,434,4525,6562,10527,10352,15039,38474,78089,94689
54,1012,1012.000,301,4961,6462,9891,10458,14930,27888,70569,101919
55,907,907.000,275,5526,7346,10882,11972,16307,32640,76463,102872
56,943,943.000,286,4966,7043,10804,11458,16120,32809,85496,102942
57,904,904.000,549,4908,6700,10785,11548,16488,30993,76289,96769
58,892,892.000,706,5278,7097,11319,11929,16041,33747,87944,98480
59,877,877.000,565,5249,7380,11309,11715,16882,33780,89391,103046
60,909,909.000,447,5228,7206,10748,11228,15524,30094,77458,92272
