Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
2,Payment,1748586545.969425,17803,7,1
2,Payment,1748586545.972255,8904,6,1
2,Payment,1748586545.973381,7712,1,1
4,Delivery,1748586545.974233,47601,5,1
2,Payment,1748586545.974300,12976,2,1
1,NewOrder,1748586545.974303,16808,0,1
1,NewOrder,1748586545.977021,25791,9,1
2,Payment,1748586545.979021,5983,3,1
1,NewOrder,1748586545.981367,19454,6,1
2,Payment,1748586545.981391,7709,1,1
2,Payment,1748586545.982932,6164,4,1
1,NewOrder,1748586545.985055,15766,3,1
2,Payment,1748586545.987289,11360,7,1
1,NewOrder,1748586545.987325,29449,2,1
2,Payment,1748586545.989164,6051,1,1
2,Payment,1748586545.989176,6072,4,1
1,NewOrder,1748586545.991162,27773,0,1
1,NewOrder,1748586545.993948,24928,8,1
2,Payment,1748586545.995277,7505,1,1
2,Payment,1748586545.995297,9442,4,1
3,OrderStatus,1748586545.998706,10881,7,1
1,NewOrder,1748586546.000885,22405,3,1
1,NewOrder,1748586546.000887,26471,6,1
1,NewOrder,1748586546.002876,22635,9,1
2,Payment,1748586546.002883,6673,1,1
2,Payment,1748586546.004796,6612,4,1
1,NewOrder,1748586546.009619,15782,1,1
1,NewOrder,1748586546.009647,35458,7,1
4,Delivery,1748586546.011488,119092,4,1
1,NewOrder,1748586546.016919,32980,2,1
2,Payment,1748586546.018984,8387,0,1
3,OrderStatus,1748586546.019010,36091,8,1
1,NewOrder,1748586546.021879,20905,5,1
2,Payment,1748586546.023339,5879,3,1
1,NewOrder,1748586546.025474,26521,1,1
3,OrderStatus,1748586546.025555,11267,9,1
1,NewOrder,1748586546.027400,13451,0,1
2,Payment,1748586546.027411,5558,6,1
1,NewOrder,1748586546.029258,18611,3,1
1,NewOrder,1748586546.033025,14813,6,1
2,Payment,1748586546.036875,10923,9,1
1,NewOrder,1748586546.040896,19814,0,1
1,NewOrder,1748586546.042830,17840,5,1
1,NewOrder,1748586546.045149,17810,7,1
2,Payment,1748586546.047838,6104,9,1
1,NewOrder,1748586546.047890,23168,6,1
2,Payment,1748586546.047919,10873,3,1
2,Payment,1748586546.049947,8852,2,1
2,Payment,1748586546.052043,4695,1,1
3,OrderStatus,1748586546.053998,15884,9,1
1,NewOrder,1748586546.055145,24694,8,1
3,OrderStatus,1748586546.056786,36352,1,1
2,Payment,1748586546.058855,7670,2,1
2,Payment,1748586546.058881,9844,3,1
2,Payment,1748586546.060726,7997,5,1
1,NewOrder,1748586546.060783,27277,0,1
2,Payment,1748586546.063008,14319,7,1
1,NewOrder,1748586546.066574,25416,2,1
1,NewOrder,1748586546.068769,27381,3,1
2,Payment,1748586546.068912,6066,5,1
2,Payment,1748586546.069941,10044,9,1
1,NewOrder,1748586546.071109,23003,6,1
1,NewOrder,1748586546.075025,31554,5,1
1,NewOrder,1748586546.077373,12719,7,1
2,Payment,1748586546.079897,5828,8,1
1,NewOrder,1748586546.080103,18167,9,1
1,NewOrder,1748586546.085818,31415,8,1
2,Payment,1748586546.088104,5979,0,1
2,Payment,1748586546.090148,8051,7,1
2,Payment,1748586546.092035,6133,2,1
2,Payment,1748586546.093183,6816,1,1
1,NewOrder,1748586546.094132,13063,0,1
1,NewOrder,1748586546.094158,20572,6,1
2,Payment,1748586546.096251,7940,3,1
1,NewOrder,1748586546.098246,18901,7,1
2,Payment,1748586546.098325,7887,2,1
2,Payment,1748586546.098364,7903,9,1
2,Payment,1748586546.100033,6287,1,1
1,NewOrder,1748586546.104236,20885,3,1
1,NewOrder,1748586546.106259,9576,2,1
2,Payment,1748586546.106327,8439,9,1
2,Payment,1748586546.106378,8327,1,1
