Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,23.600,62.500,9.799,42.034,47.601,72.922,102.044,146.375,233.245,234.001,0.016
5,14.200,83.297,26.739,40.338,51.386,138.561,151.200,193.454,223.372,223.372,0.012
10,21.200,60.637,22.187,38.878,44.129,55.599,137.125,149.013,176.550,225.062,0.016
15,25.400,51.822,29.902,37.759,42.133,47.766,99.139,124.211,167.503,187.503,0.019
20,16.000,79.750,28.646,42.840,58.000,129.760,139.615,170.738,184.218,184.218,0.013
25,30.600,44.404,18.445,35.842,39.880,45.556,54.978,78.075,150.310,150.829,0.023
30,23.800,80.355,30.455,55.189,72.575,98.310,137.594,140.182,169.076,172.841,0.012
35,25.000,52.179,28.115,34.439,40.014,68.704,92.060,96.007,121.153,173.721,0.019
40,36.200,37.735,24.084,32.854,36.299,40.240,45.521,48.942,68.450,74.084,0.027
45,38.000,37.831,25.148,31.811,35.415,40.515,50.089,55.333,67.449,74.888,0.026
50,33.000,40.858,25.494,32.445,35.110,42.012,64.116,74.271,99.101,138.777,0.024
55,37.600,36.559,24.664,31.138,34.980,38.993,46.108,53.810,66.042,69.291,0.027
60,5.600,37.185,27.856,30.065,34.573,38.310,56.296,66.286,80.246,80.246,0.027
