Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,25.600,18.769,1.389,6.935,11.461,18.353,41.824,58.346,165.972,167.632,0.053
5,17.600,17.424,1.485,5.474,8.652,36.882,41.835,46.317,95.829,95.829,0.057
10,23.600,10.342,0.950,5.137,7.499,10.245,22.513,41.598,46.353,46.932,0.097
15,22.600,9.672,1.227,4.737,6.601,9.144,17.241,37.648,40.660,43.534,0.103
20,17.800,11.672,0.415,4.484,7.940,13.776,36.583,38.675,56.885,56.885,0.086
25,28.400,7.147,0.284,4.724,6.458,8.602,11.303,13.764,23.443,45.481,0.140
30,19.400,13.632,0.925,4.813,7.195,20.772,37.392,39.348,46.272,46.272,0.073
35,29.600,8.459,1.021,4.647,7.042,9.319,19.566,25.610,35.610,36.410,0.118
40,35.800,5.971,0.983,4.127,6.098,7.783,9.740,11.298,17.320,18.585,0.167
45,31.600,5.844,0.988,3.627,5.227,7.074,9.754,12.833,17.952,20.473,0.171
50,38.000,6.188,0.905,3.396,5.257,7.554,11.234,15.387,28.228,29.197,0.162
55,35.400,5.948,0.981,3.409,5.547,7.912,10.302,11.775,15.712,18.076,0.168
60,6.000,7.043,1.081,4.485,7.337,9.022,13.062,14.779,16.048,16.048,0.142
