Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,245.000,8.122,2.870,5.950,6.793,8.274,10.456,13.126,39.856,92.266,0.123
5,158.800,14.771,3.000,5.954,7.302,13.439,39.624,42.107,52.821,87.661,0.068
10,276.000,9.022,2.488,6.041,6.520,8.100,12.008,36.228,41.175,87.842,0.111
15,268.000,9.174,3.928,5.829,6.464,7.915,12.859,36.958,41.552,96.357,0.109
20,208.000,11.974,3.294,6.284,7.214,10.995,37.004,38.379,41.241,84.039,0.084
25,327.800,7.332,2.595,5.615,6.376,7.328,9.592,14.614,30.492,41.827,0.136
30,185.400,13.523,3.753,6.163,7.344,18.824,36.213,38.199,41.232,89.111,0.074
35,285.000,8.575,3.842,5.776,6.500,7.487,18.468,23.962,30.635,154.466,0.117
40,400.400,6.222,3.612,5.525,6.132,6.524,7.210,8.478,13.840,55.906,0.161
45,374.200,6.549,3.656,5.655,6.143,6.656,8.717,11.020,15.586,22.895,0.153
50,381.400,6.514,3.716,5.487,6.163,6.682,7.583,9.949,20.233,27.973,0.154
55,379.400,6.653,3.795,5.556,6.358,6.896,8.633,11.415,15.035,38.179,0.150
60,87.000,6.088,3.829,5.014,6.219,6.751,7.209,7.942,11.059,18.094,0.164
