Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,20.800,28.494,1.318,4.497,27.552,49.139,64.854,71.042,88.457,110.692,0.035
5,14.000,8.229,1.051,4.285,4.769,5.702,21.191,36.962,54.383,54.383,0.122
10,24.400,4.889,2.189,4.258,4.608,5.200,6.314,7.145,8.416,11.878,0.205
15,24.600,4.905,3.239,4.134,4.565,4.999,5.544,6.142,6.963,35.199,0.204
20,20.400,4.931,1.110,4.209,4.571,5.063,5.506,6.310,10.417,34.996,0.203
25,33.200,4.467,0.814,4.093,4.527,4.937,5.459,5.753,7.731,8.499,0.224
30,18.800,5.033,3.222,4.174,4.553,4.924,5.288,5.613,36.417,36.417,0.199
35,24.200,5.070,3.775,4.255,4.600,5.003,5.539,6.288,19.801,23.937,0.197
40,33.800,4.662,3.548,4.209,4.590,4.929,5.559,5.850,7.233,7.440,0.215
45,33.000,4.573,3.393,4.182,4.488,4.882,5.295,5.530,7.207,7.330,0.219
50,36.000,4.603,3.567,4.224,4.560,4.969,5.302,5.551,7.385,7.643,0.217
55,35.800,4.534,3.473,4.170,4.467,4.816,5.208,5.341,6.535,6.670,0.221
60,5.800,4.619,3.717,4.239,4.504,4.912,5.596,5.651,5.884,5.884,0.216
