Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,565.600,17.772,1.318,6.844,12.792,21.530,35.424,49.618,88.013,234.001,0.056
5,364.600,27.289,1.051,7.058,15.325,40.950,59.295,86.170,136.339,223.372,0.037
10,625.400,15.906,0.950,6.425,11.496,18.139,35.543,46.900,87.681,225.062,0.063
15,630.800,15.835,1.227,6.347,11.917,18.335,37.974,45.821,81.018,187.503,0.063
20,466.200,21.420,0.415,6.920,13.713,27.812,46.989,53.992,101.463,184.218,0.047
25,785.600,12.718,0.284,6.263,10.274,15.897,21.042,33.108,49.600,150.829,0.079
30,438.000,22.886,0.925,6.902,17.801,30.455,45.830,55.710,122.228,172.841,0.044
35,662.400,15.005,1.021,6.396,11.223,18.006,30.238,36.272,73.221,173.721,0.067
40,911.800,10.936,0.983,6.053,8.799,14.379,17.820,20.903,40.378,74.084,0.091
45,872.000,11.451,0.988,6.063,9.948,14.765,18.586,24.979,42.327,74.888,0.087
50,873.600,11.426,0.905,6.053,8.923,14.670,19.010,27.206,42.810,138.777,0.088
55,877.000,11.367,0.981,6.246,9.714,14.686,18.765,25.213,39.328,69.291,0.088
60,187.000,10.534,1.081,6.028,7.942,14.116,17.037,18.989,35.893,80.246,0.095
