Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,1918.400,2.344,0.930,1.815,2.282,2.782,3.264,3.569,4.208,6.041,0.427
5,1828.800,2.490,0.827,1.859,2.346,2.918,3.549,4.120,5.613,20.524,0.402
10,1929.600,2.299,0.878,1.774,2.230,2.719,3.207,3.524,4.377,6.695,0.435
15,1948.600,2.306,0.951,1.784,2.240,2.732,3.201,3.504,4.190,6.036,0.434
20,1948.000,2.359,0.908,1.796,2.260,2.781,3.302,3.684,4.823,15.513,0.424
25,1950.000,2.296,0.874,1.779,2.231,2.720,3.172,3.491,4.171,6.136,0.436
30,1918.800,2.384,0.883,1.807,2.280,2.812,3.345,3.764,4.985,7.354,0.420
35,1942.200,2.357,0.851,1.816,2.273,2.785,3.275,3.595,4.433,13.202,0.424
40,1913.000,2.371,0.812,1.817,2.286,2.809,3.319,3.677,4.628,6.671,0.422
45,1920.600,2.401,0.784,1.816,2.295,2.811,3.345,3.764,5.267,8.905,0.417
50,1882.600,2.392,0.901,1.797,2.249,2.744,3.249,3.650,6.620,22.133,0.418
55,1931.600,2.321,0.810,1.788,2.250,2.752,3.233,3.557,4.436,7.014,0.431
60,386.600,2.252,0.976,1.744,2.191,2.661,3.112,3.380,3.983,4.945,0.444
