Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,1848.200,0.664,0.318,0.545,0.634,0.748,0.866,0.965,1.224,3.370,1.506
5,1713.800,0.682,0.330,0.537,0.631,0.760,0.939,1.094,1.449,16.949,1.466
10,1822.400,0.627,0.317,0.516,0.594,0.705,0.822,0.916,1.144,2.889,1.596
15,1895.600,0.626,0.310,0.518,0.594,0.701,0.814,0.898,1.126,5.070,1.598
20,1851.600,0.632,0.308,0.511,0.591,0.711,0.846,0.953,1.213,11.271,1.581
25,1874.000,0.622,0.322,0.516,0.593,0.698,0.810,0.884,1.075,3.548,1.609
30,1844.000,0.651,0.317,0.526,0.608,0.722,0.858,1.000,1.389,4.197,1.537
35,1854.400,0.642,0.337,0.527,0.606,0.720,0.837,0.928,1.204,11.209,1.557
40,1833.800,0.644,0.297,0.522,0.603,0.722,0.848,0.962,1.261,4.739,1.552
45,1813.000,0.650,0.325,0.524,0.604,0.717,0.863,0.997,1.402,3.500,1.539
50,1784.800,0.649,0.321,0.519,0.592,0.704,0.824,0.956,1.833,18.898,1.542
55,1869.200,0.630,0.305,0.514,0.593,0.703,0.826,0.919,1.218,24.844,1.587
60,364.200,0.613,0.325,0.508,0.587,0.684,0.785,0.853,1.088,3.354,1.631
