Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,94.600,0.962,0.250,0.445,0.649,1.490,1.781,1.987,2.423,3.859,1.040
5,76.800,1.164,0.241,0.604,1.323,1.558,1.738,1.863,2.189,3.468,0.859
10,60.800,1.370,0.262,1.235,1.408,1.596,1.816,1.933,2.187,2.891,0.730
15,61.800,1.359,0.283,1.218,1.434,1.599,1.780,1.857,2.081,2.675,0.736
20,63.800,1.192,0.209,0.873,1.323,1.525,1.716,1.840,2.210,2.479,0.839
25,64.400,1.351,0.251,1.206,1.395,1.615,1.793,1.889,2.077,2.375,0.740
30,60.400,1.331,0.262,1.157,1.380,1.573,1.785,1.876,2.050,2.541,0.752
35,57.800,1.328,0.218,1.216,1.395,1.565,1.726,1.822,2.048,2.307,0.753
40,59.200,1.329,0.258,1.199,1.369,1.560,1.759,1.880,2.200,2.373,0.753
45,56.800,1.270,0.226,1.190,1.334,1.512,1.677,1.782,2.060,2.160,0.787
50,62.000,1.313,0.231,1.167,1.375,1.547,1.720,1.844,2.139,2.414,0.762
55,67.600,1.350,0.255,1.191,1.365,1.563,1.724,1.885,2.201,3.161,0.741
60,16.600,1.402,0.579,1.229,1.402,1.591,1.773,1.929,2.298,2.298,0.713
