Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,96.400,2.897,0.906,1.453,2.507,4.320,4.906,5.301,5.853,6.684,0.345
5,70.000,3.623,1.003,2.321,4.039,4.661,5.182,5.413,5.803,6.007,0.276
10,59.400,4.197,1.053,3.953,4.413,4.909,5.294,5.448,5.831,5.950,0.238
15,59.800,4.254,0.939,4.017,4.455,4.952,5.336,5.609,5.910,6.389,0.235
20,69.400,3.770,1.016,2.899,4.175,4.742,5.190,5.427,5.917,6.396,0.265
25,62.000,4.238,1.070,3.990,4.416,4.816,5.185,5.419,5.888,6.176,0.236
30,57.200,4.158,0.973,3.938,4.407,4.853,5.310,5.519,5.937,6.445,0.241
35,58.800,4.223,1.176,3.979,4.399,4.849,5.256,5.418,5.805,6.024,0.237
40,60.000,4.242,1.285,3.964,4.420,4.806,5.214,5.499,6.087,6.113,0.236
45,57.000,4.195,1.078,3.974,4.423,4.785,5.143,5.421,6.030,6.080,0.238
50,57.400,4.277,1.156,3.942,4.512,4.922,5.321,5.525,6.166,6.645,0.234
55,61.400,4.159,1.286,3.805,4.410,4.812,5.235,5.457,5.991,6.432,0.240
60,14.000,4.396,2.199,3.934,4.437,4.897,5.271,5.495,5.988,5.988,0.227
