Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,3629,3629.000,282,752,1920,2751,3104,6175,8912,15266,28669
1,1550,1550.000,420,2655,3628,6463,9704,13085,14872,27325,50626
2,1890,1890.000,250,1883,3109,5247,7463,11973,14223,26981,60331
3,1335,1335.000,1230,2871,4977,7459,10950,13977,15805,27854,48621
4,2856,2856.000,263,1005,2345,3491,4017,8438,11429,17658,51500
5,2983,2983.000,241,785,2217,3354,3387,8807,11819,23087,52239
6,1532,1532.000,405,2614,3655,6473,9697,13176,14710,27138,48523
7,2056,2056.000,280,1617,2871,4865,7154,11177,13368,25798,30279
8,1406,1406.000,1074,2699,4436,7077,10565,13471,15061,27108,56145
9,1467,1467.000,1060,2705,3877,6786,9975,13155,14651,26930,46695
10,1404,1404.000,856,2698,4480,7089,10356,13604,15431,26870,44912
11,1377,1377.000,954,2722,4967,7250,10688,13653,15299,27088,52765
12,1996,1996.000,262,1568,2985,5005,6922,11934,13605,26009,52248
13,1339,1339.000,1079,2827,6230,7449,10788,13721,15276,26890,71574
14,1368,1368.000,1083,2754,5060,7267,10850,13468,15255,26715,49524
15,1343,1343.000,1022,2804,6173,7414,10513,13474,15386,27325,56617
16,1409,1409.000,1064,2698,4952,7100,10244,13473,15497,26589,46270
17,2085,2085.000,283,1650,2812,4776,6803,11510,13169,25708,28803
18,1354,1354.000,1121,2705,5208,7354,10885,13529,15384,26984,49567
19,1362,1362.000,1059,2766,5874,7306,10627,13302,15208,27315,53190
20,1393,1393.000,956,2715,5929,7166,10564,13356,14786,26405,53150
21,1484,1484.000,782,2656,4260,6707,9788,13190,15005,26083,50229
22,2057,2057.000,247,1591,2863,4848,7033,11623,13426,25530,63801
23,2265,2265.000,209,1363,2669,4395,5849,11213,13134,25701,49821
24,1472,1472.000,648,2637,4409,6780,9817,13160,15453,26610,43312
25,1353,1353.000,1107,2766,6176,7379,11028,13639,14958,27096,48406
26,1374,1374.000,990,2723,4573,7273,10623,13635,15459,27610,46976
27,2080,2080.000,251,1640,2814,4769,6696,11556,13373,26078,45548
28,1437,1437.000,986,2706,4593,6934,10629,13272,14568,26445,28630
29,1422,1422.000,1120,2701,4245,7015,10531,13443,14962,26714,29423
30,1354,1354.000,1022,2772,6379,7344,10807,13724,15590,27157,31124
31,1377,1377.000,964,2758,4974,7269,10306,13521,14765,26948,51050
32,2057,2057.000,262,1512,2924,4838,6905,11338,13375,25949,49011
33,1432,1432.000,1022,2722,4492,6959,10390,13172,14719,26860,29095
34,1413,1413.000,957,2682,4737,7055,10339,13355,15601,26567,49735
35,1382,1382.000,1091,2775,5419,7215,10521,13391,15143,26687,61473
36,1382,1382.000,969,2727,4625,7216,10705,13558,15990,27252,51558
37,1988,1988.000,218,1698,2938,5007,7334,11755,13635,26198,52490
38,1435,1435.000,1021,2674,4412,6968,10312,13317,14819,26565,53196
39,1432,1432.000,1097,2653,4399,6972,10494,13092,14458,26575,52711
40,1400,1400.000,1027,2717,5221,7103,10575,13323,14706,26055,51634
41,1385,1385.000,1099,2725,4772,7219,10822,13408,15104,27012,61837
42,2042,2042.000,258,1755,2931,4890,6930,11681,14086,25587,32774
43,1407,1407.000,1077,2715,4697,7098,10412,13300,14695,26691,56136
44,1408,1408.000,996,2677,4222,7072,10488,13438,15164,26303,68490
45,1385,1385.000,993,2773,4800,7194,10655,13463,15496,26879,56962
46,1424,1424.000,986,2739,5612,6993,10372,13201,14347,26338,48272
47,2109,2109.000,226,1478,2766,4782,6742,11574,13546,26218,49963
48,1351,1351.000,1055,2725,5756,7320,10654,13721,15726,26308,48877
49,1387,1387.000,902,2734,5189,7204,10451,13476,15290,27086,52075
50,1421,1421.000,1007,2711,4790,7012,10411,13363,15026,26863,53098
51,1427,1427.000,1029,2660,4642,6994,10431,13381,14932,26424,51785
52,2070,2070.000,231,1651,2802,4827,7072,11359,13336,25564,53342
53,1397,1397.000,923,2714,4868,7124,10706,13496,14941,26578,54425
54,1434,1434.000,883,2684,4617,6972,10457,13207,14689,26538,53022
55,1378,1378.000,1012,2715,4819,7231,10800,13482,15340,27014,49355
56,1382,1382.000,1007,2740,6434,7259,10677,13675,14980,26461,50053
57,1897,1897.000,255,1820,2916,5237,7453,12141,14399,26206,51630
58,1417,1417.000,968,2715,4420,7039,10487,13393,14773,27056,54440
59,1467,1467.000,973,2710,4410,6814,10269,13024,14339,26090,51632
60,1500,1500.000,579,2626,4130,6572,9804,12907,14581,26168,48792
