Round	Start	End	Benchmark_Elapsed	Tuning_overhead
1	1748036686.6452	1748036780.0214138	93.3762137889862	0.0
2	1748036780.056481	1748036888.4635673	108.40708637237549	0.035067081451416016
3	1748036888.538016	1748036935.0098681	46.47185206413269	0.07444882392883301
4	1748036935.0891595	1748036981.154353	46.06519341468811	0.07929134368896484
5	1748036981.2309694	1748037026.9273891	45.69641971588135	0.07661652565002441
6	1748037027.0046232	1748037072.6857786	45.68115544319153	0.07723402976989746
7	1748037072.7690957	1748037118.454022	45.6849262714386	0.08331704139709473
8	1748037118.5341892	1748037164.1681793	45.63399004936218	0.08016729354858398
9	1748037166.8086498	1748037212.7076402	45.89899039268494	2.640470504760742
10	1748037212.790242	1748037305.659534	92.86929202079773	0.08260178565979004
11	1748037305.7435384	1748037397.6294856	91.88594722747803	0.08400440216064453
12	1748037397.7142348	1748037443.8558278	46.14159297943115	0.08474922180175781
13	1748037443.941597	1748037489.714626	45.773029088974	0.0857691764831543
14	1748037489.8019488	1748037581.7842445	91.98229575157166	0.08732271194458008
15	1748037581.8244894	1748037628.0918813	46.26739192008972	0.04024481773376465
16	1748037628.1849453	1748037673.8138707	45.62892532348633	0.0930640697479248
17	1748037673.9912007	1748037719.718326	45.72712540626526	0.17733001708984375
18	1748037722.4363492	1748037814.3234951	91.88714599609375	2.7180230617523193
19	1748037814.416969	1748037860.6486442	46.231675148010254	0.09347391128540039
20	1748037860.7429495	1748037952.5124266	91.76947712898254	0.09430527687072754
21	1748037952.6054938	1748038080.021704	127.41621017456055	0.09306716918945312
22	1748038080.0837705	1748038180.8385584	100.75478792190552	0.06206655502319336
23	1748038180.936308	1748038287.8747554	106.93844747543335	0.09774947166442871
24	1748038287.9691079	1748038380.3908334	92.4217255115509	0.09435248374938965
25	1748038380.5389283	1748038427.2263288	46.687400579452515	0.14809489250183105
26	1748038429.9479556	1748038521.6899524	91.74199676513672	2.7216267585754395
27	1748038521.7821991	1748038568.0288005	46.24660134315491	0.09224677085876465
28	1748038568.1336257	1748038613.7269366	45.593310832977295	0.10482525825500488
29	1748038613.8316884	1748038705.6443677	91.81267929077148	0.1047518253326416
30	1748038705.7010088	1748038798.9219356	93.2209267616272	0.0566411018371582
31	1748038799.0277035	1748038907.019958	107.99225449562073	0.10576796531677246
32	1748038907.1236343	1748039008.2532616	101.1296272277832	0.10367631912231445
33	1748039010.7789562	1748039111.1192303	100.34027409553528	2.5256946086883545
34	1748039111.2269452	1748039203.178784	91.95183873176575	0.10771489143371582
35	1748039203.285086	1748039249.2365863	45.951500415802	0.10630202293395996
36	1748039249.3499272	1748039341.5429282	92.19300103187561	0.11334085464477539
37	1748039341.6429377	1748039433.7698958	92.12695813179016	0.10000944137573242
38	1748039433.8767824	1748039525.8216927	91.94491028785706	0.10688662528991699
39	1748039525.9170446	1748039625.9435272	100.02648258209229	0.0953519344329834
40	1748039625.9707704	1748039718.2925253	92.32175493240356	0.02724313735961914
41	1748039720.9328995	1748039766.8760962	45.94319677352905	2.640374183654785
42	1748039766.995805	1748039812.615911	45.62010598182678	0.11970877647399902
43	1748039812.7365496	1748039858.5180545	45.78150486946106	0.12063860893249512
44	1748039858.6443264	1748039904.3017864	45.65745997428894	0.12627196311950684
45	1748039904.425675	1748040005.0165982	100.59092330932617	0.12388849258422852
46	1748040005.1410966	1748040106.2043498	101.06325316429138	0.12449836730957031
47	1748040106.3331308	1748040152.2448573	45.91172647476196	0.12878108024597168
48	1748040152.3755674	1748040198.143996	45.768428564071655	0.13071012496948242
49	1748040200.9428537	1748040293.046749	92.10389542579651	2.7988576889038086
50	1748040293.1625254	1748040385.13512	91.97259449958801	0.11577630043029785
51	1748040385.17933	1748040478.851719	93.67238879203796	0.044210195541381836
52	1748040479.2169974	1748040577.9825182	98.76552081108093	0.3652784824371338
53	1748040578.0426037	1748040670.712004	92.66940021514893	0.06008553504943848
54	1748040670.7618458	1748040716.526567	45.764721155166626	0.049841880798339844
55	1748040716.6618314	1748040808.5928833	91.9310519695282	0.13526439666748047
56	1748040808.7328734	1748040855.791378	47.058504581451416	0.13999009132385254
57	1748040858.7322066	1748040953.5477684	94.81556177139282	2.940828561782837
