Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,87.200,16.201,4.756,6.803,12.639,26.756,28.154,28.896,31.280,35.615,0.062
5,81.400,18.641,5.081,7.466,24.342,26.403,27.539,28.080,28.964,34.172,0.054
10,63.000,23.319,5.301,23.758,25.650,26.838,27.760,28.249,30.521,35.636,0.043
15,63.600,23.746,5.184,24.104,25.439,26.463,27.713,28.042,29.305,31.120,0.042
20,74.200,20.068,4.483,9.559,24.847,26.351,27.335,27.886,29.045,30.608,0.050
25,61.000,24.077,5.635,24.400,25.755,26.721,27.754,28.335,28.955,34.296,0.042
30,65.200,23.040,5.059,23.823,25.298,26.585,27.449,27.997,29.076,31.772,0.043
35,63.000,23.600,5.012,23.975,25.602,26.635,27.742,28.182,28.655,30.480,0.042
40,63.600,23.902,6.146,24.051,25.276,26.450,27.160,27.703,29.660,35.780,0.042
45,67.800,23.269,4.956,24.023,25.360,26.422,27.240,27.755,28.422,29.058,0.043
50,64.200,23.785,4.926,24.229,25.497,26.475,27.503,28.164,29.921,32.635,0.042
55,60.600,23.952,5.048,24.178,25.612,26.803,27.709,28.281,30.132,33.702,0.042
60,15.600,17.780,5.361,7.389,23.651,25.841,26.870,27.752,28.275,28.275,0.056
