Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,2166.400,4.604,0.257,1.425,2.846,6.264,11.677,13.838,26.756,35.615,0.217
5,1946.800,5.122,0.258,1.889,2.911,7.738,12.091,14.008,26.449,34.172,0.195
10,1545.400,6.447,0.270,2.592,3.668,9.609,13.135,14.758,26.849,35.636,0.155
15,1539.200,6.477,0.247,2.591,3.497,9.754,13.078,14.794,26.512,31.120,0.154
20,1765.200,5.649,0.242,2.276,3.049,8.767,12.482,14.058,26.394,30.608,0.177
25,1549.000,6.429,0.257,2.608,3.452,9.633,13.016,14.737,26.703,34.296,0.156
30,1578.600,6.321,0.255,2.514,3.379,9.543,12.987,14.636,26.645,31.772,0.158
35,1523.200,6.542,0.258,2.589,3.614,9.898,13.141,14.766,26.673,30.480,0.153
40,1486.600,6.714,0.274,2.640,3.890,9.922,13.222,14.928,26.526,35.780,0.149
45,1524.200,6.546,0.254,2.570,3.632,9.875,13.115,14.767,26.543,29.058,0.153
50,1506.800,6.630,0.268,2.612,3.750,10.022,13.235,14.853,26.545,32.635,0.151
55,1539.400,6.478,0.213,2.571,3.406,9.895,13.135,14.645,26.868,33.702,0.154
60,406.400,4.861,0.227,1.865,2.818,7.241,11.283,13.312,25.702,28.275,0.206
