Round	Start	End	Benchmark_Elapsed	Tuning_overhead
1	1744402503.2078705	1744402600.9382434	97.7303729057312	0.0
2	1744402600.99302	1744402645.3922343	44.39921426773071	0.054776668548583984
3	1744402645.4473674	1744402735.7741425	90.32677507400513	0.05513310432434082
4	1744402735.8286767	1744402827.4671009	91.63842415809631	0.054534196853637695
5	1744402827.5252607	1744402918.6289856	91.10372495651245	0.058159828186035156
6	1744402918.6744945	1744402963.6038172	44.929322719573975	0.04550886154174805
7	1744402963.6624622	1744403007.953852	44.29138970375061	0.058645009994506836
8	1744403008.0140014	1744403052.1066887	44.092687368392944	0.060149431228637695
9	1744403053.918505	1744403150.913771	96.99526596069336	1.8118162155151367
10	1744403150.9746583	1744403249.1602826	98.18562436103821	0.06088733673095703
11	1744403249.217302	1744403348.0414789	98.82417678833008	0.05701947212219238
12	1744403348.100435	1744403451.9274523	103.8270173072815	0.058956146240234375
13	1744403451.9612887	1744403551.6061733	99.64488458633423	0.03383636474609375
14	1744403551.627616	1744403595.8187656	44.19114971160889	0.021442651748657227
15	1744403595.890375	1744403639.9447708	44.05439591407776	0.0716092586517334
16	1744403640.017064	1744403683.9326906	43.915626525878906	0.07229328155517578
17	1744403684.0937538	1744403728.2163925	44.12263870239258	0.16106319427490234
18	1744403730.4102504	1744403832.1721065	101.76185607910156	2.1938579082489014
19	1744403832.2311194	1744403929.0307724	96.79965305328369	0.05901288986206055
20	1744403929.1021578	1744404020.5132494	91.41109156608582	0.07138538360595703
21	1744404020.5878143	1744404111.552019	90.96420454978943	0.07456493377685547
22	1744404111.5699298	1744404203.2969098	91.726979970932	0.01791095733642578
23	1744404203.3639967	1744404303.4612303	100.09723353385925	0.06708693504333496
24	1744404303.5255454	1744404348.4544778	44.928932428359985	0.0643150806427002
25	1744404348.6194544	1744404393.3852756	44.7658212184906	0.1649765968322754
26	1744404395.3526878	1744404488.7271335	93.37444567680359	1.9674122333526611
27	1744404488.8043454	1744404532.9702606	44.1659152507782	0.07721185684204102
28	1744404533.0539026	1744404577.1564763	44.10257363319397	0.08364200592041016
29	1744404577.2362382	1744404667.6211202	90.3848819732666	0.07976198196411133
30	1744404667.7030935	1744404765.6314728	97.92837929725647	0.08197331428527832
31	1744404765.689759	1744404881.1156816	115.42592263221741	0.058286190032958984
32	1744404881.207261	1744404978.514609	97.3073480129242	0.09157943725585938
33	1744404980.401112	1744405082.9894476	102.5883355140686	1.886502981185913
34	1744405083.0736015	1744405186.5181966	103.44459509849548	0.08415389060974121
35	1744405186.5955334	1744405230.6153781	44.01984477043152	0.07733678817749023
36	1744405230.7011366	1744405328.5469766	97.8458399772644	0.08575844764709473
37	1744405328.6342607	1744405426.5612757	97.92701506614685	0.08728408813476562
38	1744405426.6502655	1744405529.9539847	103.30371928215027	0.0889897346496582
39	1744405530.0329907	1744405628.4714062	98.43841552734375	0.07900595664978027
40	1744405628.5626445	1744405673.5919604	45.02931594848633	0.09123826026916504
41	1744405675.3675706	1744405766.0052233	90.63765263557434	1.7756102085113525
42	1744405766.0892398	1744405810.4177837	44.32854390144348	0.08401656150817871
43	1744405810.511631	1744405903.8362453	93.32461428642273	0.09384727478027344
44	1744405903.9198925	1744405948.1674423	44.24754977226257	0.08364725112915039
45	1744405948.2626565	1744406038.53647	90.27381348609924	0.0952141284942627
46	1744406038.6331272	1744406129.2707744	90.63764715194702	0.09665727615356445
47	1744406129.3198566	1744406174.2030697	44.88321304321289	0.049082279205322266
48	1744406174.3044975	1744406279.9513369	105.64683938026428	0.10142779350280762
49	1744406281.7885156	1744406379.7854583	97.99694275856018	1.8371787071228027
50	1744406379.877348	1744406500.173072	120.29572415351868	0.09188961982727051
51	1744406500.2721295	1744406598.8656807	98.59355115890503	0.09905743598937988
52	1744406598.9662247	1744406697.631134	98.66490936279297	0.10054397583007812
53	1744406697.7330744	1744406796.4137933	98.6807188987732	0.10194039344787598
54	1744406796.4541342	1744406840.9224424	44.468308210372925	0.04034090042114258
55	1744406841.0294838	1744406938.2855704	97.25608658790588	0.1070413589477539
56	1744406938.3927734	1744406983.657527	45.264753580093384	0.10720300674438477
57	1744406985.7425942	1744407083.5330591	97.79046487808228	2.0850672721862793
58	1744407083.6384766	1744407182.6875103	99.04903364181519	0.10541749000549316
59	1744407182.7962685	1744407281.7218125	98.9255440235138	0.10875821113586426
60	1744407281.830781	1744407376.627463	94.7966821193695	0.10896849632263184
61	1744407376.740321	1744407422.0277941	45.28747320175171	0.11285781860351562
62	1744407422.1452062	1744407466.0833845	43.938178300857544	0.11741209030151367
63	1744407466.1941535	1744407559.8504035	93.65625	0.11076903343200684
64	1744407559.9655702	1744407604.7701647	44.80459451675415	0.11516666412353516
65	1744407604.9662402	1744407648.8506122	43.8843719959259	0.196075439453125
66	1744407650.9082732	1744407748.0544145	97.14614129066467	2.0576610565185547
67	1744407748.1694086	1744407865.0127716	116.84336304664612	0.11499404907226562
68	1744407865.0755832	1744407909.808215	44.73263168334961	0.06281161308288574
69	1744407909.9243968	1744408012.2623131	102.33791637420654	0.11618185043334961
70	1744408012.3780477	1744408103.9604924	91.58244466781616	0.11573457717895508
71	1744408104.0209413	1744408202.0483363	98.0273950099945	0.06044888496398926
72	1744408202.1465304	1744408247.4259608	45.2794303894043	0.09819412231445312
73	1744408249.5363853	1744408347.1197963	97.58341097831726	2.110424518585205
74	1744408347.2396595	1744408445.8290172	98.58935761451721	0.11986327171325684
75	1744408445.856475	1744408537.4152708	91.5587956905365	0.02745795249938965
76	1744408537.5325727	1744408582.4012125	44.86863970756531	0.11730194091796875
77	1744408582.5241086	1744408679.7813787	97.25727009773254	0.12289619445800781
78	1744408679.908057	1744408725.146757	45.2386999130249	0.1266782283782959
79	1744408725.2709188	1744408822.0821822	96.8112633228302	0.12416195869445801
80	1744408822.2065825	1744408867.10977	44.90318751335144	0.12440037727355957
