Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,129.200,0.406,0.205,0.313,0.370,0.456,0.578,0.683,0.868,1.198,2.464
5,131.400,0.348,0.170,0.277,0.320,0.388,0.446,0.486,0.570,8.344,2.874
10,131.400,0.332,0.176,0.276,0.319,0.378,0.441,0.478,0.537,0.883,3.013
15,137.000,0.329,0.173,0.274,0.317,0.374,0.437,0.477,0.527,0.676,3.044
20,137.600,0.328,0.178,0.264,0.312,0.374,0.436,0.480,0.545,2.673,3.047
25,141.000,0.323,0.179,0.264,0.309,0.366,0.426,0.465,0.543,1.450,3.099
30,125.400,0.317,0.176,0.261,0.304,0.359,0.420,0.458,0.524,0.770,3.157
35,127.000,0.324,0.169,0.258,0.307,0.360,0.418,0.451,0.523,5.938,3.087
40,133.400,0.318,0.169,0.254,0.298,0.358,0.416,0.454,0.515,3.884,3.149
45,137.200,0.312,0.173,0.253,0.299,0.362,0.422,0.450,0.524,0.643,3.207
50,138.400,0.311,0.159,0.257,0.299,0.356,0.406,0.449,0.504,0.610,3.216
55,122.000,0.318,0.162,0.263,0.311,0.354,0.429,0.456,0.498,0.528,3.149
60,23.600,0.372,0.175,0.243,0.289,0.339,0.414,0.460,0.641,8.553,2.691
