Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,49.000,9.168,5.909,7.616,8.891,10.181,11.770,12.810,14.486,20.081,0.109
5,43.400,8.024,4.578,6.822,7.761,8.839,10.213,11.098,13.715,23.338,0.125
10,42.000,7.343,4.615,6.423,7.148,7.893,9.267,10.281,12.840,16.920,0.136
15,46.600,7.117,4.373,6.105,6.707,7.874,9.306,9.966,12.181,13.857,0.140
20,38.800,6.976,3.818,6.068,6.660,7.658,9.010,9.521,13.060,13.288,0.143
25,47.400,6.573,1.196,5.893,6.341,7.084,8.254,8.771,10.507,12.363,0.152
30,46.400,6.212,3.545,5.390,5.914,6.710,7.780,8.735,11.726,20.280,0.161
35,46.000,5.942,3.735,5.292,5.778,6.432,7.398,8.387,9.292,9.696,0.168
40,44.800,6.487,4.265,5.567,6.268,7.076,8.121,8.935,10.922,15.248,0.154
45,47.600,6.247,3.800,5.414,6.103,6.699,7.689,8.722,11.236,14.618,0.160
50,42.200,6.025,3.913,5.210,5.734,6.654,7.638,8.052,10.522,15.316,0.166
55,50.600,5.877,0.502,5.174,5.749,6.455,7.531,8.352,9.267,13.517,0.170
60,13.400,4.881,0.253,4.367,5.540,6.146,7.657,8.142,8.768,8.768,0.205
