Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,476.600,0.866,0.373,0.696,0.807,0.961,1.183,1.311,1.754,8.306,1.155
5,467.000,0.780,0.383,0.607,0.731,0.873,1.082,1.184,1.521,8.188,1.282
10,501.800,0.731,0.347,0.571,0.688,0.824,1.011,1.139,1.401,4.438,1.368
15,506.200,0.706,0.351,0.547,0.652,0.803,0.959,1.103,1.451,8.186,1.416
20,473.600,0.703,0.354,0.547,0.640,0.792,0.956,1.100,1.519,8.070,1.423
25,484.600,0.687,0.345,0.545,0.633,0.781,0.944,1.074,1.338,8.155,1.456
30,459.400,0.668,0.350,0.530,0.608,0.752,0.911,1.073,1.401,4.766,1.497
35,464.400,0.649,0.353,0.520,0.593,0.722,0.870,0.988,1.320,7.954,1.540
40,458.800,0.664,0.350,0.529,0.605,0.737,0.892,1.010,1.399,5.271,1.506
45,497.800,0.656,0.332,0.521,0.597,0.734,0.889,1.003,1.308,8.161,1.525
50,491.200,0.653,0.339,0.519,0.592,0.736,0.883,0.986,1.379,4.751,1.531
55,558.200,0.646,0.352,0.523,0.591,0.721,0.882,0.992,1.292,8.014,1.548
60,135.600,0.691,0.262,0.520,0.604,0.769,0.910,1.134,1.899,7.746,1.447
