Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,1133.000,8.788,0.273,0.819,2.149,3.681,5.428,10.083,224.619,283.938,0.114
5,1098.400,9.189,0.217,0.729,1.787,3.212,5.008,9.235,224.558,286.421,0.109
10,1157.600,8.604,0.185,0.679,1.654,3.050,4.550,7.624,229.232,289.292,0.116
15,1158.400,8.608,0.205,0.644,1.546,2.935,4.406,7.695,224.829,288.834,0.116
20,1123.000,8.853,0.222,0.640,1.622,2.895,4.185,7.642,223.831,293.847,0.113
25,1131.800,8.926,0.183,0.624,1.526,2.761,4.242,7.388,234.418,293.456,0.112
30,1081.600,9.210,0.214,0.607,1.518,2.636,4.053,7.141,239.436,292.666,0.109
35,1087.000,9.156,0.227,0.593,1.502,2.680,4.109,6.836,232.675,295.078,0.109
40,1077.000,9.265,0.200,0.600,1.527,2.747,4.199,7.455,240.030,299.730,0.108
45,1141.400,8.804,0.204,0.593,1.488,2.712,4.180,7.045,233.182,294.185,0.114
50,1130.000,8.804,0.215,0.590,1.473,2.580,3.918,6.769,229.882,298.960,0.114
55,1288.800,7.805,0.191,0.584,1.350,2.547,3.635,6.150,232.634,295.493,0.128
60,308.400,5.420,0.216,0.566,1.004,2.413,3.576,5.507,140.208,296.268,0.184
