Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,463.600,9.615,1.343,7.124,9.394,11.973,14.434,15.889,17.803,23.594,0.104
5,869.000,4.737,1.189,2.837,3.514,5.332,9.412,11.899,15.391,18.456,0.211
10,1169.600,3.509,1.063,2.708,3.291,3.998,5.026,5.820,7.302,17.651,0.285
15,864.800,4.917,1.014,2.838,3.613,5.822,9.982,12.048,15.092,18.529,0.203
20,496.600,8.768,1.344,6.396,8.473,10.751,13.156,14.590,16.735,18.938,0.114
25,372.200,12.629,1.407,7.649,10.610,14.466,23.671,30.106,37.988,64.461,0.079
30,440.200,9.724,1.263,6.792,9.289,12.122,14.407,15.682,19.350,38.915,0.103
35,474.000,8.832,0.967,6.028,8.159,11.086,13.539,14.881,17.121,24.888,0.113
40,486.200,8.974,1.367,6.177,8.390,11.236,13.662,14.732,16.817,21.760,0.111
45,377.000,11.536,1.426,7.132,9.526,12.640,22.182,29.442,39.671,51.449,0.087
50,343.000,13.501,1.185,8.643,11.513,15.837,24.956,28.506,35.478,39.131,0.074
55,354.600,12.840,0.907,8.362,10.884,13.832,20.858,30.741,41.319,118.105,0.078
60,88.400,10.205,3.207,7.448,9.929,12.794,14.894,16.327,18.776,26.798,0.098
