Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,39.800,5.251,0.366,3.846,5.563,6.570,7.824,8.429,10.225,10.351,0.190
5,79.400,2.029,0.235,1.092,1.580,2.269,4.502,5.573,8.316,10.417,0.493
10,99.800,1.340,0.196,0.961,1.362,1.705,2.100,2.277,2.794,5.382,0.746
15,75.600,1.828,0.225,0.965,1.422,2.135,3.997,5.131,7.319,8.452,0.547
20,41.600,3.110,0.257,1.362,2.630,4.562,6.109,6.981,7.677,8.643,0.322
25,31.400,3.718,0.286,1.713,2.809,4.225,6.272,8.418,21.265,28.404,0.269
30,37.400,3.591,0.204,1.456,3.030,4.910,6.802,8.046,12.207,27.129,0.279
35,45.400,3.709,0.267,1.335,3.934,5.628,6.521,7.390,8.996,10.726,0.270
40,46.200,3.617,0.223,1.434,4.007,5.554,6.437,7.439,8.064,9.269,0.276
45,31.200,4.327,0.288,1.635,3.891,5.681,6.892,8.081,31.037,38.649,0.231
50,29.400,4.738,0.292,2.049,4.353,6.319,8.694,10.542,21.082,21.625,0.211
55,29.400,4.754,0.290,1.390,3.412,5.600,8.407,10.732,37.531,37.850,0.210
60,7.600,3.314,0.578,1.120,2.870,4.817,6.881,7.144,7.156,7.156,0.302
