Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,36.400,56.761,25.692,37.394,58.345,72.895,84.362,87.815,93.632,94.991,0.018
5,79.600,36.122,25.489,27.793,30.253,37.138,54.957,75.036,87.625,91.931,0.028
10,95.400,31.721,25.614,27.840,30.106,33.898,39.045,43.871,48.401,53.518,0.032
15,77.400,37.107,25.562,27.792,30.105,38.656,62.640,72.165,87.641,93.951,0.027
20,42.000,58.764,26.291,43.996,58.467,74.515,81.939,86.145,90.429,92.273,0.017
25,33.800,65.645,25.201,52.382,66.556,80.297,88.592,90.120,94.881,94.986,0.015
30,41.600,62.154,26.288,46.661,64.389,76.795,87.306,90.157,93.077,96.228,0.016
35,47.400,55.837,25.297,40.706,55.381,70.959,81.400,85.209,91.519,92.814,0.018
40,43.200,57.241,26.254,42.948,55.769,70.596,80.267,84.877,91.221,95.296,0.017
45,41.800,60.412,25.338,43.157,60.897,76.782,88.834,91.268,93.503,98.702,0.017
50,29.200,71.006,26.450,59.886,74.174,86.164,91.256,94.633,97.501,101.131,0.014
55,31.200,68.815,25.795,54.976,70.602,84.873,90.495,92.482,95.842,97.881,0.015
60,6.200,56.780,30.184,45.429,54.371,70.941,79.271,85.696,87.897,87.897,0.018
