Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,1017.400,9.791,0.366,4.275,6.106,10.283,15.565,30.073,69.875,94.991,0.102
5,1913.800,5.216,0.235,1.485,2.964,4.665,10.020,20.435,38.719,91.931,0.192
10,2598.800,3.841,0.196,1.422,2.298,3.587,5.961,10.490,33.495,53.518,0.260
15,1908.200,5.229,0.225,1.496,3.071,5.109,10.090,16.637,38.834,93.951,0.191
20,1088.800,9.165,0.257,3.898,5.730,9.541,14.540,29.039,73.497,92.273,0.109
25,832.600,12.017,0.286,4.465,6.985,13.133,25.814,36.732,80.756,109.276,0.083
30,994.000,10.025,0.204,4.271,6.159,10.633,15.696,30.539,77.151,96.228,0.100
35,1070.400,9.328,0.267,3.931,5.791,9.648,14.893,28.097,73.802,92.814,0.107
40,1083.200,9.213,0.223,3.948,5.843,9.682,14.232,26.356,70.023,95.296,0.109
45,858.000,11.652,0.288,4.133,6.358,11.526,26.883,39.200,80.466,98.702,0.086
50,756.600,13.237,0.292,5.493,8.139,14.571,26.450,36.603,86.693,101.131,0.076
55,789.200,12.628,0.290,5.092,7.338,12.645,27.113,40.635,87.622,118.105,0.079
60,198.000,9.848,0.578,4.358,6.574,11.092,15.702,25.130,66.645,87.897,0.102
