Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
4,Delivery,1746611222.964114,67713,5,1
1,NewOrder,1746611222.965306,12173,4,1
2,Payment,1746611222.970017,12205,8,1
1,NewOrder,1746611222.972528,13561,9,1
3,OrderStatus,1746611222.973726,15618,3,1
2,Payment,1746611222.975155,10969,2,1
1,NewOrder,1746611222.977601,20266,4,1
3,OrderStatus,1746611222.982206,11908,1,1
2,Payment,1746611222.982276,6527,8,1
2,Payment,1746611222.986118,6795,9,1
1,NewOrder,1746611222.986154,21022,2,1
1,NewOrder,1746611222.988826,15552,8,1
2,Payment,1746611222.989367,5905,3,1
1,NewOrder,1746611222.992952,21816,9,1
1,NewOrder,1746611222.994164,18677,1,1
4,Delivery,1746611222.995304,177065,3,1
2,Payment,1746611222.997907,9199,4,1
3,OrderStatus,1746611223.000415,10000,7,1
1,NewOrder,1746611223.004519,23143,8,1
3,OrderStatus,1746611223.007174,9065,4,1
2,Payment,1746611223.007250,10837,2,1
2,Payment,1746611223.010487,11530,7,1
2,Payment,1746611223.012905,11947,1,1
1,NewOrder,1746611223.014823,14956,9,1
1,NewOrder,1746611223.016284,24054,4,1
1,NewOrder,1746611223.018149,22173,2,1
1,NewOrder,1746611223.022075,14372,7,1
1,NewOrder,1746611223.024910,17598,1,1
2,Payment,1746611223.027733,6289,8,1
1,NewOrder,1746611223.029837,8508,9,1
2,Payment,1746611223.031877,10666,5,1
1,NewOrder,1746611223.034070,15057,8,1
1,NewOrder,1746611223.036491,16544,7,1
5,StockLevel,1746611223.038393,51090,9,1
2,Payment,1746611223.040362,6606,2,1
1,NewOrder,1746611223.040378,14925,4,1
1,NewOrder,1746611223.042576,14910,5,1
2,Payment,1746611223.042637,8519,1,1
2,Payment,1746611223.047017,6023,2,1
1,NewOrder,1746611223.049162,13060,8,1
2,Payment,1746611223.051200,8745,1,1
4,Delivery,1746611223.053084,43678,2,1
5,StockLevel,1746611223.053087,200307,7,1
2,Payment,1746611223.055347,6911,4,1
1,NewOrder,1746611223.057524,11998,5,1
1,NewOrder,1746611223.059972,9589,1,1
1,NewOrder,1746611223.062244,9631,8,1
2,Payment,1746611223.062298,4778,4,1
1,NewOrder,1746611223.067145,17535,4,1
2,Payment,1746611223.069553,5784,5,1
