Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,29.000,43.388,21.526,37.255,42.293,46.717,54.222,63.880,76.596,177.065,0.023
5,39.000,34.289,10.198,28.559,34.842,39.930,46.417,52.986,62.791,70.522,0.029
10,86.800,12.877,6.675,9.961,11.715,14.808,18.757,21.199,25.325,46.584,0.078
15,94.600,10.185,5.849,8.343,9.725,11.400,13.750,15.328,18.494,24.420,0.098
20,87.000,12.263,5.566,8.288,9.846,13.801,20.201,26.761,35.379,61.286,0.082
25,41.800,26.204,8.441,21.422,26.951,30.766,34.222,36.697,47.373,62.695,0.038
30,38.800,25.192,7.243,17.589,25.649,31.354,35.505,39.680,59.285,61.603,0.040
35,32.600,36.242,10.593,26.254,30.923,38.379,66.126,79.885,93.403,118.453,0.028
40,28.000,36.711,9.974,23.980,29.744,34.691,83.996,93.867,137.791,139.928,0.027
45,28.600,37.350,13.842,25.457,30.388,39.580,78.742,93.510,97.462,103.672,0.027
50,23.800,54.617,15.663,26.801,32.723,84.404,94.622,100.382,312.892,443.412,0.018
55,39.200,26.027,9.495,19.909,26.931,30.968,34.502,36.699,52.196,54.551,0.038
60,6.200,30.957,17.569,24.996,28.060,30.771,39.049,67.676,72.382,72.382,0.032
