Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,31.400,6.938,0.500,4.787,6.461,8.765,10.777,12.627,17.667,20.490,0.144
5,34.800,5.002,0.272,2.381,4.616,6.516,9.336,11.082,15.677,27.332,0.200
10,86.000,1.992,0.184,1.362,1.867,2.469,3.268,3.785,5.287,7.049,0.502
15,97.800,1.617,0.196,1.056,1.582,2.145,2.692,3.053,4.381,5.869,0.618
20,83.200,1.834,0.206,1.078,1.681,2.265,2.961,4.077,7.135,9.548,0.545
25,41.200,3.703,0.202,1.692,3.219,5.141,6.567,7.238,11.849,15.850,0.270
30,37.800,4.041,0.230,1.295,3.937,6.135,7.589,8.777,12.306,13.331,0.247
35,26.800,6.179,0.630,2.717,4.780,6.906,9.785,16.726,38.068,39.674,0.162
40,28.800,6.170,0.323,2.176,4.781,7.189,9.187,12.624,40.737,45.886,0.162
45,25.400,4.557,0.228,1.660,4.465,6.401,7.750,9.512,10.576,38.015,0.219
50,18.000,9.609,0.358,1.482,4.978,8.148,36.275,38.629,134.786,134.786,0.104
55,37.800,4.624,0.307,1.348,4.542,6.640,8.974,10.173,14.184,16.970,0.216
60,7.200,3.566,0.563,1.342,3.328,5.474,6.916,7.130,7.231,7.231,0.280
