Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,326.600,6.602,0.992,4.853,6.004,7.265,9.328,11.512,21.806,45.046,0.151
5,396.600,5.332,0.952,3.764,5.156,6.235,7.739,9.198,15.588,33.619,0.188
10,954.200,1.880,0.861,1.415,1.593,2.096,2.738,3.336,5.702,20.002,0.532
15,1060.400,1.578,0.848,1.275,1.455,1.660,2.102,2.537,4.656,13.550,0.634
20,940.800,1.800,0.830,1.288,1.481,1.846,2.863,4.216,5.926,15.295,0.555
25,448.000,4.503,0.855,3.532,4.280,5.352,6.122,6.602,9.177,20.059,0.222
30,455.400,4.521,0.938,3.588,4.189,5.499,5.999,6.410,8.056,36.682,0.221
35,300.400,6.992,3.140,4.522,5.801,6.487,8.192,18.843,36.076,40.060,0.143
40,299.200,6.936,2.260,4.058,5.190,6.178,7.549,35.281,38.157,55.162,0.144
45,293.000,7.425,2.701,4.297,5.734,6.444,7.600,35.121,37.626,38.920,0.135
50,224.800,9.152,3.012,4.571,5.998,6.865,12.104,36.188,38.272,360.404,0.109
55,384.000,5.066,2.458,4.043,4.647,5.986,6.516,6.867,8.826,31.278,0.197
60,69.800,5.613,3.022,4.311,5.480,6.288,6.974,7.385,8.704,38.362,0.178
