Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,758.600,13.128,0.500,6.023,8.928,13.691,18.914,44.723,87.073,246.231,0.076
5,922.000,10.801,0.272,4.874,7.138,11.375,16.576,37.617,76.512,98.645,0.093
10,2196.200,4.537,0.184,1.646,2.791,4.224,7.539,13.855,38.674,74.360,0.220
15,2481.400,4.027,0.196,1.474,2.478,3.666,5.849,12.217,32.499,57.115,0.248
20,2193.600,4.556,0.206,1.513,2.704,4.194,8.146,14.850,34.704,96.024,0.220
25,1023.800,9.731,0.202,4.254,6.238,10.689,15.161,28.935,75.562,92.655,0.103
30,1037.600,9.651,0.230,4.186,6.020,10.233,14.934,29.924,75.594,95.569,0.104
35,712.400,13.970,0.630,5.841,8.811,14.323,30.793,41.605,86.931,118.453,0.072
40,709.800,14.096,0.323,5.308,7.775,13.058,37.816,47.262,86.719,139.928,0.071
45,686.000,14.564,0.228,5.724,8.297,13.736,37.829,46.900,87.458,103.672,0.069
50,523.600,19.052,0.358,6.038,9.612,17.070,44.346,64.084,94.622,443.412,0.052
55,926.200,10.794,0.307,4.765,7.122,11.400,16.123,30.604,77.886,97.956,0.093
60,166.000,11.573,0.563,5.480,7.579,11.873,16.410,30.513,83.740,88.115,0.086
