Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,154.800,4.217,1.366,3.037,3.737,4.964,6.265,7.276,10.217,36.432,0.237
5,190.200,3.453,1.246,2.475,3.236,4.125,5.192,5.746,6.719,27.581,0.290
10,195.600,3.115,1.262,2.288,2.964,3.732,4.689,5.245,6.172,6.973,0.321
15,206.400,2.921,1.123,2.163,2.743,3.408,4.441,5.002,5.916,6.616,0.342
20,205.600,2.780,1.177,2.130,2.625,3.194,4.074,4.681,5.608,9.140,0.360
25,194.000,2.632,0.969,1.968,2.472,3.049,3.928,4.513,5.504,7.009,0.380
30,191.000,2.732,1.180,1.980,2.550,3.192,4.253,4.735,5.629,7.257,0.366
35,195.200,2.651,0.924,1.948,2.489,3.074,4.110,4.605,5.466,7.669,0.377
40,200.600,2.804,1.023,1.945,2.464,3.161,4.221,4.668,5.442,41.661,0.357
45,207.000,2.641,1.049,1.871,2.389,2.965,3.944,4.486,5.349,29.377,0.379
50,196.800,2.544,1.099,1.854,2.327,2.918,3.756,4.396,5.321,31.758,0.393
55,196.000,2.697,0.971,1.832,2.355,2.886,3.935,4.551,15.878,21.779,0.371
60,37.200,2.978,1.046,1.865,2.279,3.084,4.168,4.734,21.936,23.275,0.336
