Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,14.400,11.678,1.110,1.901,12.248,17.740,20.539,25.795,34.428,34.428,0.086
5,18.200,2.601,1.062,1.299,1.696,2.261,5.837,8.389,10.136,10.136,0.384
10,16.800,1.796,1.083,1.371,1.572,1.885,2.165,3.335,5.645,5.645,0.557
15,15.200,1.451,0.951,1.231,1.366,1.652,1.852,2.004,2.163,2.163,0.689
20,14.800,1.497,1.062,1.258,1.423,1.774,1.931,2.051,2.467,2.467,0.668
25,16.800,1.438,1.069,1.251,1.355,1.549,1.861,2.059,2.341,2.341,0.696
30,19.800,1.443,1.040,1.213,1.330,1.681,1.904,2.067,2.309,2.309,0.693
35,20.600,1.442,0.951,1.198,1.315,1.687,1.993,2.066,2.203,2.290,0.694
40,17.400,1.451,1.068,1.225,1.332,1.634,1.969,2.113,2.238,2.238,0.689
45,19.800,1.448,1.063,1.238,1.325,1.657,1.955,2.058,2.305,2.305,0.691
50,18.000,1.465,1.005,1.226,1.358,1.691,1.863,1.924,2.212,2.212,0.683
55,20.000,1.514,1.049,1.223,1.319,1.738,1.933,2.023,8.747,8.747,0.661
60,3.200,1.449,1.156,1.207,1.301,1.807,1.876,1.981,1.981,1.981,0.690
