Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,171,171.000,886,3913,7609,30455,41022,60996,120539,488394,617792
1,378,378.000,563,3448,5377,25656,44979,55030,81803,220520,348134
2,415,415.000,510,2709,4163,24924,44624,56011,90037,227811,352702
3,388,388.000,460,2515,4207,25124,44652,57885,82203,169197,352146
4,390,390.000,460,2290,4107,26751,44838,58381,84263,208210,351628
5,393,393.000,392,2003,3851,23747,44528,53524,80790,174349,253808
6,420,420.000,455,2108,3807,23900,44201,58671,85770,169792,253831
7,439,439.000,426,1836,3659,22866,44114,58425,96403,162406,182763
8,452,452.000,438,2154,3644,22975,44044,55269,123757,159864,175243
9,450,450.000,421,1793,3636,21574,44084,58567,80006,150336,178295
10,458,458.000,456,1934,3483,21556,44318,63314,78276,135899,158004
11,410,410.000,399,1471,3457,24378,43840,64543,123099,199450,265574
12,432,432.000,406,1885,3440,23447,43941,56637,103849,171359,277337
13,472,472.000,365,1941,3268,21294,43555,57457,78279,151619,290773
14,410,410.000,411,1791,3023,23606,43761,58748,78130,247591,449833
15,425,425.000,440,1826,3119,24236,44142,62714,80258,246937,308616
16,456,456.000,383,1766,3046,21559,43724,55030,80409,159839,188430
17,449,449.000,436,1614,2831,22506,44079,53914,80782,195227,348380
18,424,424.000,383,1654,2963,23372,43775,61948,78933,199438,293010
19,498,498.000,363,1787,3128,20162,43703,55142,75393,151593,204771
20,429,429.000,366,1832,3038,23280,44034,60976,97119,159911,184953
21,428,428.000,347,1636,3164,23701,44247,63128,122372,154649,191761
22,482,482.000,399,1761,2927,20633,43655,48303,65124,186800,351851
23,412,412.000,394,1894,2910,24215,44434,56855,79923,169638,346714
24,497,497.000,421,1888,2808,21135,43458,61606,77133,178161,366298
25,429,429.000,421,1546,2723,22545,43983,57763,80216,178636,365872
26,389,389.000,359,1615,2833,25387,44245,78328,126267,167577,206550
27,407,407.000,390,1609,2708,24723,44252,58281,100228,247710,282964
28,459,459.000,379,1691,2830,21375,43498,62329,73838,160923,235966
29,459,459.000,392,1602,2657,21525,43743,58119,79541,166305,232187
30,431,431.000,373,1506,3055,23187,43755,62206,78813,173204,238943
31,423,423.000,360,1698,3171,24149,44002,63181,80951,149573,183030
32,507,507.000,419,1588,2783,19499,43501,48055,75184,151157,174863
33,411,411.000,417,1731,2879,24637,43851,62025,123696,179459,308684
34,423,423.000,410,1600,2702,24366,44219,53717,112732,197664,397159
35,451,451.000,364,1380,2659,20872,43792,55198,78227,150707,188600
36,418,418.000,379,1723,2948,24117,43680,57432,78385,187247,356593
37,442,442.000,332,1647,2942,22445,43673,62870,79514,145857,178524
38,459,459.000,385,1602,2761,21960,43546,54170,79848,155590,158988
39,476,476.000,372,1744,2859,20832,43540,55773,77393,138765,201715
40,464,464.000,384,1790,3230,22353,43657,53812,74745,197179,272317
41,420,420.000,375,1730,2889,23340,43656,58529,79407,162324,297121
42,448,448.000,339,1655,2672,22554,43758,58172,109840,171782,299917
43,460,460.000,370,1456,2696,21184,43493,58847,78680,140257,224568
44,443,443.000,356,1564,2747,22407,43915,56658,78857,157739,199806
45,440,440.000,383,1604,2815,22974,43738,62510,81293,147390,225350
46,456,456.000,408,1699,2852,22313,43988,61513,79718,166198,289475
47,487,487.000,377,1453,2461,20220,43319,62141,79155,126938,157596
48,440,440.000,360,1508,2608,22343,43627,61131,79020,132449,313106
49,483,483.000,331,1649,2605,21004,43752,50417,69539,169685,315235
50,396,396.000,387,1751,2812,25639,43592,65593,124832,189906,204442
51,380,380.000,405,1736,2801,25437,43877,63505,122546,215302,295360
52,464,464.000,361,1531,2648,22143,43447,57887,112704,173281,262563
53,469,469.000,364,1525,2507,21053,43451,52335,78376,158664,189657
54,455,455.000,388,1602,2708,21993,43658,55084,82195,156577,201767
55,434,434.000,338,1445,2840,23105,43696,59504,79184,191983,267678
56,436,436.000,359,1770,2902,23166,43652,54461,78253,180913,259950
57,438,438.000,341,1464,2443,22936,43887,58508,79233,153591,235295
58,429,429.000,363,1548,2546,23103,43533,61944,122957,187274,264937
59,500,500.000,377,1436,2409,19899,43257,48252,75977,158862,323020
60,358,358.000,316,1769,2660,18465,43174,47089,76778,123269,158355
