Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,19.400,154.609,73.033,110.504,136.383,172.369,240.607,320.887,542.368,542.368,0.006
5,23.600,150.694,86.017,110.100,143.028,182.426,212.017,242.945,273.198,398.174,0.007
10,17.200,160.772,87.055,108.397,144.707,182.076,244.065,330.416,498.311,498.311,0.006
15,17.000,156.936,85.967,103.610,131.479,182.763,277.876,336.948,473.010,473.010,0.006
20,14.600,168.214,85.595,93.870,134.899,202.941,328.438,389.670,475.759,475.759,0.006
25,17.600,161.081,86.115,112.097,144.238,179.747,278.378,295.013,396.046,396.046,0.006
30,20.000,154.717,84.924,121.525,140.419,174.439,228.394,253.222,307.410,307.410,0.006
35,18.000,155.150,85.604,105.302,138.286,181.466,241.573,308.885,463.840,463.840,0.006
40,18.200,155.411,85.051,105.335,133.773,183.556,247.888,330.495,375.854,375.854,0.006
45,18.000,160.723,85.718,107.965,139.869,191.007,261.755,323.686,399.930,399.930,0.006
50,20.800,156.835,85.010,114.321,142.505,186.230,222.763,252.374,394.582,453.471,0.006
55,16.600,159.883,84.815,105.694,140.190,200.201,248.226,324.282,383.035,383.035,0.006
60,3.800,150.424,91.286,115.593,136.461,169.144,243.886,268.612,268.612,268.612,0.007
