Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,195.000,2.697,1.128,1.921,2.422,3.107,4.158,4.804,6.150,20.909,0.371
5,191.600,2.439,0.963,1.765,2.251,2.818,3.743,4.348,5.049,12.681,0.410
10,201.400,2.376,1.020,1.716,2.195,2.768,3.714,4.274,4.878,5.811,0.421
15,232.200,2.348,0.972,1.738,2.233,2.708,3.585,4.151,4.772,5.256,0.426
20,209.800,2.404,0.880,1.747,2.216,2.792,3.689,4.216,4.931,16.702,0.416
25,206.200,2.314,0.939,1.658,2.138,2.687,3.687,4.242,5.076,6.341,0.432
30,184.600,2.316,0.867,1.674,2.131,2.668,3.688,4.191,4.813,7.233,0.432
35,205.000,2.256,0.955,1.651,2.075,2.575,3.444,4.065,4.769,12.749,0.443
40,207.800,2.287,0.933,1.697,2.124,2.658,3.476,3.958,4.688,12.060,0.437
45,204.600,2.252,0.924,1.632,2.087,2.604,3.603,4.119,4.638,5.167,0.444
50,215.000,2.262,0.905,1.601,2.110,2.657,3.522,4.081,4.776,10.548,0.442
55,189.200,2.259,0.782,1.656,2.102,2.592,3.501,4.041,4.805,6.283,0.443
60,36.000,2.406,1.128,1.659,2.233,2.842,3.899,4.254,4.945,8.600,0.416
