Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,15.600,48.497,14.399,20.251,52.514,62.289,82.917,91.260,171.861,171.861,0.021
5,15.800,46.298,14.597,21.222,56.244,62.529,72.108,100.126,110.045,110.045,0.022
10,16.400,48.699,19.357,20.704,57.897,64.044,71.712,94.791,115.038,115.038,0.021
15,19.000,46.228,18.817,20.196,34.003,64.013,75.982,98.209,113.513,113.513,0.022
20,18.600,56.146,19.434,24.462,63.764,66.199,81.983,99.606,112.178,112.178,0.018
25,15.200,54.840,19.261,32.790,63.067,64.647,68.916,99.264,111.606,111.606,0.018
30,18.200,53.794,19.339,24.551,62.799,65.530,81.854,110.075,148.390,148.390,0.019
35,20.400,49.670,19.096,20.494,62.490,63.781,77.214,88.481,110.846,111.797,0.020
40,19.000,53.248,18.849,21.387,62.626,65.001,73.728,110.578,131.143,131.143,0.019
45,19.600,55.833,19.018,32.668,62.848,64.880,83.595,101.823,111.363,111.363,0.018
50,14.600,49.988,19.261,20.375,62.370,64.735,75.394,104.101,110.465,110.465,0.020
55,17.400,46.652,19.193,20.234,61.202,64.152,73.534,82.821,111.969,111.969,0.021
60,2.800,48.152,19.329,19.714,62.457,63.933,97.453,110.921,110.921,110.921,0.021
