Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,18.400,2.141,1.083,1.319,1.965,2.685,3.445,4.017,6.195,6.195,0.467
5,17.600,1.458,1.020,1.246,1.348,1.686,1.830,1.971,3.026,3.026,0.686
10,18.000,1.401,1.037,1.222,1.335,1.544,1.811,2.027,2.173,2.173,0.714
15,18.600,1.470,1.070,1.243,1.332,1.801,1.930,2.003,2.086,2.086,0.680
20,18.200,1.451,1.105,1.253,1.318,1.734,1.874,2.005,2.126,2.126,0.689
25,16.200,1.415,1.099,1.204,1.298,1.623,1.901,1.979,2.255,2.255,0.707
30,15.800,1.414,1.031,1.240,1.317,1.515,1.910,2.044,2.157,2.157,0.707
35,18.400,1.371,1.073,1.220,1.267,1.438,1.799,1.912,2.146,2.146,0.729
40,19.000,1.455,1.063,1.218,1.288,1.655,2.042,2.068,2.606,2.606,0.687
45,15.800,1.398,0.998,1.222,1.307,1.437,1.894,2.001,2.222,2.222,0.715
50,17.600,1.433,1.044,1.224,1.302,1.696,1.989,2.045,2.107,2.107,0.698
55,17.200,1.402,1.063,1.214,1.301,1.494,1.823,1.908,2.286,2.286,0.713
60,3.600,1.462,1.112,1.273,1.375,1.606,2.054,2.163,2.163,2.163,0.684
