Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,441.400,22.635,0.396,1.637,2.764,43.855,55.102,80.782,178.553,542.368,0.044
5,427.600,23.380,0.372,1.548,2.544,43.848,61.018,99.749,191.823,398.174,0.043
10,447.400,22.355,0.348,1.470,2.477,43.719,57.208,80.117,181.627,498.311,0.045
15,494.400,20.350,0.345,1.438,2.380,43.530,53.060,78.907,179.139,473.010,0.049
20,465.200,21.381,0.371,1.400,2.431,43.634,57.835,78.522,175.370,475.759,0.047
25,452.400,22.115,0.335,1.387,2.334,43.696,60.916,78.923,178.715,396.046,0.045
30,422.600,23.599,0.352,1.358,2.366,43.760,64.096,88.919,186.015,307.410,0.042
35,455.400,21.908,0.309,1.375,2.314,43.617,61.412,79.193,181.466,463.840,0.046
40,462.400,21.727,0.351,1.341,2.332,43.585,62.381,79.313,181.481,375.854,0.046
45,438.600,22.704,0.311,1.441,2.349,43.624,62.476,79.468,196.505,399.930,0.044
50,460.400,21.932,0.325,1.353,2.340,43.512,59.919,80.341,189.189,453.471,0.046
55,436.400,22.804,0.361,1.395,2.400,43.802,59.165,78.888,191.884,383.035,0.044
60,80.600,21.829,0.384,1.368,2.395,43.287,60.209,91.286,169.144,268.612,0.046
