Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,17.000,49.514,14.267,24.516,51.850,57.920,84.783,95.164,112.432,112.432,0.020
5,18.200,48.933,19.180,20.945,57.116,64.144,74.033,91.398,118.599,118.599,0.020
10,16.400,49.653,18.896,20.350,61.657,65.194,74.197,104.523,118.934,118.934,0.020
15,15.600,53.377,19.070,20.498,62.285,70.506,90.475,109.080,112.130,112.130,0.019
20,18.000,57.564,19.025,21.054,62.818,71.573,99.233,111.303,120.914,120.914,0.017
25,15.400,53.675,19.016,27.515,62.679,66.197,78.184,108.472,120.520,120.520,0.019
30,17.600,52.545,19.072,24.825,62.370,64.971,74.176,88.783,124.522,124.522,0.019
35,16.800,45.720,18.869,21.182,60.953,63.570,71.615,72.991,109.407,109.407,0.022
40,15.800,51.471,19.012,19.937,62.317,68.870,84.654,109.906,112.569,112.569,0.019
45,18.000,49.301,19.137,19.955,61.713,64.714,82.882,110.244,112.853,112.853,0.020
50,19.800,51.205,19.124,21.143,62.362,63.912,71.395,110.178,118.267,118.267,0.020
55,17.800,49.057,18.808,19.899,62.190,64.161,72.762,95.983,109.984,109.984,0.020
60,2.800,44.362,19.179,20.253,61.304,67.094,70.451,70.833,70.833,70.833,0.023
