Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,17.600,167.282,75.536,126.058,138.721,195.463,289.574,312.789,336.832,336.832,0.006
5,19.200,154.438,119.202,125.230,136.508,166.360,213.148,239.983,358.010,358.010,0.006
10,18.000,152.155,118.604,125.586,132.986,158.303,225.787,256.686,308.495,308.495,0.007
15,17.000,148.424,121.401,124.348,129.807,156.769,201.837,233.861,280.086,280.086,0.007
20,18.400,149.191,120.310,125.750,133.799,158.527,185.418,223.288,331.101,331.101,0.007
25,16.800,147.275,120.431,125.475,129.179,161.300,182.586,239.544,263.196,263.196,0.007
30,18.200,167.139,119.213,124.824,131.201,186.452,245.055,314.471,507.704,507.704,0.006
35,16.200,148.036,120.921,125.271,133.433,157.488,183.487,228.142,299.248,299.248,0.007
40,18.400,146.858,122.260,124.551,131.350,156.339,183.840,235.665,352.896,352.896,0.007
45,16.400,154.701,120.350,124.323,137.169,165.369,200.213,255.013,334.397,334.397,0.006
50,17.600,154.051,120.784,124.814,129.611,155.244,247.944,262.528,452.181,452.181,0.006
55,18.000,149.970,119.833,125.105,132.375,159.770,211.015,253.325,269.737,269.737,0.007
60,2.400,167.245,121.908,124.476,160.224,239.408,240.250,262.764,262.764,262.764,0.006
