Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,184.800,2.388,1.085,1.760,2.207,2.752,3.661,4.195,5.039,5.518,0.419
5,200.200,2.255,0.932,1.633,2.111,2.585,3.463,4.059,4.727,7.045,0.443
10,208.600,2.227,0.927,1.616,2.074,2.593,3.476,3.971,4.658,5.664,0.449
15,209.400,2.237,0.942,1.597,2.074,2.602,3.488,3.992,4.681,5.340,0.447
20,209.600,2.228,0.960,1.602,2.053,2.581,3.538,4.080,4.889,5.564,0.449
25,192.000,2.099,0.889,1.528,1.948,2.387,3.372,3.900,4.503,4.812,0.476
30,183.200,2.146,0.900,1.573,2.009,2.499,3.308,3.846,4.448,5.416,0.466
35,213.000,2.214,0.908,1.616,2.036,2.561,3.550,3.936,4.564,5.167,0.452
40,217.200,2.126,0.950,1.514,1.963,2.437,3.379,3.926,4.723,6.590,0.470
45,225.800,2.184,0.910,1.569,2.062,2.552,3.411,3.900,4.519,5.072,0.458
50,211.200,2.162,0.831,1.577,2.010,2.498,3.330,4.009,4.556,4.959,0.463
55,210.200,2.191,0.896,1.563,2.027,2.549,3.477,4.064,4.654,5.263,0.456
60,45.400,2.157,0.973,1.545,1.924,2.529,3.612,4.169,4.454,4.607,0.464
