Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,186.600,31.723,0.425,0.777,43.710,45.625,57.654,78.322,80.753,127.379,0.032
5,194.000,30.198,0.374,0.607,43.677,44.827,55.134,76.294,80.451,89.705,0.033
10,183.800,30.537,0.385,0.615,43.530,44.979,56.120,77.441,80.044,130.739,0.033
15,207.000,28.808,0.370,0.569,43.425,44.772,53.525,77.168,79.479,83.682,0.035
20,196.000,30.323,0.389,0.608,43.509,44.851,55.703,75.951,79.976,131.791,0.033
25,200.000,30.983,0.330,0.580,43.566,45.135,58.949,78.692,81.561,94.268,0.032
30,186.200,31.023,0.349,0.586,43.514,44.984,54.995,76.656,79.862,84.662,0.032
35,201.800,30.159,0.339,0.584,43.503,44.793,54.273,76.863,79.827,133.202,0.033
40,196.600,30.477,0.319,0.564,43.405,45.027,59.441,77.743,80.336,113.292,0.033
45,207.800,28.943,0.344,0.564,43.437,44.509,52.084,70.231,79.326,80.231,0.035
50,191.600,31.388,0.364,0.577,43.573,45.003,57.850,77.907,80.790,108.788,0.032
55,199.400,29.270,0.350,0.548,43.309,44.682,53.938,77.963,79.857,84.897,0.034
60,40.400,29.210,0.332,0.565,43.540,44.644,51.579,70.096,78.460,80.197,0.034
