Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,NewOrder,1747815241.616607,1988,2,1
2,Payment,1747815241.618670,44472,2,1
1,NewOrder,1747815241.621003,2178,0,1
2,Payment,1747815241.623207,1127,0,1
2,Payment,1747815241.624350,735,0,1
2,Payment,1747815241.625101,663,0,1
1,NewOrder,1747815241.625778,1717,0,1
1,NewOrder,1747815241.626647,3093,8,1
1,NewOrder,1747815241.627509,2225,0,1
1,NewOrder,1747815241.629755,2444,0,1
1,NewOrder,1747815241.629756,3005,8,1
1,NewOrder,1747815241.632220,1441,0,1
2,Payment,1747815241.632776,44947,8,1
2,Payment,1747815241.633674,40319,0,1
2,Payment,1747815241.637673,1343,6,1
2,Payment,1747815241.638388,72902,5,1
1,NewOrder,1747815241.639030,3238,6,1
1,NewOrder,1747815241.642295,2817,6,1
2,Payment,1747815241.645131,1101,6,1
3,OrderStatus,1747815241.646246,52145,6,1
2,Payment,1747815241.663163,691,2,1
1,NewOrder,1747815241.663868,2549,2,1
2,Payment,1747815241.666438,45139,2,1
2,Payment,1747815241.673351,1155,7,1
2,Payment,1747815241.674017,42607,0,1
2,Payment,1747815241.674520,50624,7,1
1,NewOrder,1747815241.677742,2212,8,1
1,NewOrder,1747815241.679972,1756,8,1
1,NewOrder,1747815241.681745,3127,8,1
1,NewOrder,1747815241.684890,4731,8,1
1,NewOrder,1747815241.689643,4999,8,1
2,Payment,1747815241.690300,40800,3,1
1,NewOrder,1747815241.694669,3129,8,1
2,Payment,1747815241.697828,45071,8,1
1,NewOrder,1747815241.698410,2045,6,1
1,NewOrder,1747815241.699870,4811,1,1
2,Payment,1747815241.700472,1066,6,1
2,Payment,1747815241.701556,715,6,1
2,Payment,1747815241.702284,43737,6,1
2,Payment,1747815241.704697,1094,1,1
5,StockLevel,1747815241.704942,1472,9,1
1,NewOrder,1747815241.705808,2951,1,1
1,NewOrder,1747815241.706428,3181,9,1
2,Payment,1747815241.708777,869,1,1
1,NewOrder,1747815241.709623,2363,9,1
2,Payment,1747815241.709656,751,1,1
1,NewOrder,1747815241.710420,2296,1,1
1,NewOrder,1747815241.711306,2826,5,1
2,Payment,1747815241.711590,44687,2,1
1,NewOrder,1747815241.712000,2344,9,1
1,NewOrder,1747815241.712729,4653,1,1
