Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,16.200,1.722,1.032,1.278,1.613,2.017,2.424,2.711,3.463,3.463,0.581
5,17.800,1.389,1.033,1.158,1.293,1.596,1.819,1.970,2.287,2.287,0.720
10,17.400,1.267,0.908,1.119,1.203,1.336,1.724,1.765,1.847,1.847,0.789
15,20.800,1.276,1.014,1.124,1.195,1.364,1.692,1.787,1.944,1.985,0.784
20,15.400,1.301,1.008,1.144,1.221,1.315,1.766,1.892,1.970,1.970,0.768
25,18.600,1.345,0.931,1.154,1.235,1.589,1.807,1.858,2.032,2.032,0.743
30,20.600,1.320,0.966,1.142,1.225,1.389,1.751,1.831,1.978,2.028,0.758
35,19.000,1.321,0.988,1.140,1.206,1.443,1.797,1.837,2.024,2.024,0.757
40,19.800,1.307,1.009,1.152,1.232,1.396,1.689,1.791,1.978,1.978,0.765
45,18.000,1.256,0.951,1.134,1.183,1.258,1.639,1.758,2.065,2.065,0.796
50,16.000,1.381,1.033,1.162,1.235,1.710,1.851,1.924,1.964,1.964,0.724
55,19.800,1.375,1.032,1.152,1.221,1.723,1.831,1.876,1.952,1.952,0.727
60,3.800,1.430,0.994,1.133,1.264,1.779,1.886,1.997,1.997,1.997,0.699
