Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,417.200,24.009,0.395,1.525,2.612,44.133,54.674,79.922,259.116,418.925,0.042
5,472.400,21.099,0.371,1.357,2.338,43.666,54.875,78.586,158.796,303.022,0.047
10,436.600,22.986,0.374,1.349,2.350,43.911,58.225,80.145,168.886,428.404,0.044
15,485.400,20.443,0.320,1.283,2.213,43.455,53.742,78.462,167.907,403.403,0.049
20,435.000,23.030,0.378,1.388,2.328,43.706,59.507,80.374,166.051,342.905,0.043
25,468.800,21.258,0.370,1.392,2.330,43.774,61.363,78.934,153.385,288.608,0.047
30,488.400,20.537,0.349,1.285,2.155,43.505,51.338,78.738,148.845,275.595,0.049
35,437.600,22.831,0.357,1.310,2.283,43.642,62.624,79.755,199.449,333.755,0.044
40,471.200,21.240,0.328,1.257,2.185,43.521,58.604,79.120,171.600,332.135,0.047
45,466.000,21.482,0.333,1.301,2.202,43.641,55.575,79.126,169.610,306.474,0.047
50,436.000,22.911,0.338,1.343,2.367,43.792,62.122,79.601,160.914,347.785,0.044
55,463.800,21.484,0.330,1.293,2.299,43.615,61.446,79.508,154.940,302.692,0.047
60,100.400,18.251,0.381,1.243,2.149,43.280,46.696,78.461,125.575,178.852,0.055
