Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,421,421.000,462,1604,2755,23889,44344,54490,79609,259116,355116
1,394,394.000,440,1613,2816,25000,44460,55997,85512,245834,418925
2,447,447.000,442,1532,2537,23639,44174,54858,79178,270739,361470
3,377,377.000,428,1521,2396,24733,44076,56240,81525,306279,397269
4,447,447.000,395,1390,2545,23003,43715,52528,79623,243238,288254
5,414,414.000,443,1306,2475,23592,43693,57658,121585,171757,193589
6,516,516.000,438,1376,2333,19529,43678,53325,75581,132388,207122
7,466,466.000,371,1456,2425,21320,43865,52402,78358,155372,303022
8,427,427.000,393,1354,2366,23540,44103,62071,80182,169550,261718
9,539,539.000,373,1268,2230,18560,43429,52219,70688,130004,281824
10,380,380.000,374,1481,2487,26192,43949,62461,81539,238515,428404
11,396,396.000,385,1514,2737,24923,44295,64394,121892,159868,186520
12,519,519.000,402,1372,2226,19252,43671,50499,70294,138562,204843
13,468,468.000,377,1289,2193,21669,43907,48732,80677,164432,278953
14,420,420.000,384,1246,2270,24340,43835,60697,111196,228448,367215
15,490,490.000,346,1286,2180,20019,43129,48693,75610,246853,369025
16,468,468.000,377,1208,2199,21182,43729,61236,80877,167907,232911
17,479,479.000,404,1309,2280,22149,44006,63197,79011,200828,403403
18,501,501.000,320,1349,2256,18446,43375,50431,67276,129158,176340
19,489,489.000,393,1241,2109,20530,43377,49677,79346,187299,282398
20,419,419.000,412,1414,2422,24246,43821,51739,109110,254794,342905
21,414,414.000,411,1390,2321,23775,43884,56878,121764,161719,225845
22,454,454.000,387,1312,2279,22348,43746,60983,80162,156738,205417
23,469,469.000,385,1306,2296,21627,43495,62392,110037,154359,185951
24,419,419.000,378,1457,2328,23386,43652,62125,79215,199870,272654
25,468,468.000,383,1374,2408,21513,43917,50608,79075,153851,253163
26,489,489.000,391,1334,2220,20079,43943,60806,81844,147385,193124
27,431,431.000,370,1427,2358,23664,43729,62838,78708,154166,288608
28,505,505.000,387,1346,2270,19144,43432,61744,78682,131126,155500
29,451,451.000,384,1497,2466,22335,43858,61142,78716,169672,241678
30,520,520.000,375,1233,2090,20054,43311,47642,78892,152074,275595
31,443,443.000,349,1296,2119,22138,43944,59876,79334,183162,218297
32,465,465.000,362,1280,2255,21132,43717,54787,78962,130659,206029
33,544,544.000,395,1317,2072,18440,43424,45937,71397,130884,201867
34,470,470.000,386,1330,2322,21396,43371,51811,78758,155931,195164
35,430,430.000,390,1391,2364,23358,43693,61840,80345,228244,266683
36,441,441.000,369,1245,2183,22388,43941,63331,86330,150738,211059
37,442,442.000,364,1283,2159,22674,43485,61805,79309,199449,270515
38,455,455.000,377,1301,2234,22370,43500,63168,79561,167050,264536
39,420,420.000,357,1294,2379,23418,43732,62601,79755,204376,333755
40,473,473.000,363,1312,2243,21012,43604,53673,97289,159247,219691
41,491,491.000,358,1174,2271,21104,43600,54450,77630,199213,332135
42,442,442.000,396,1271,2238,22085,43608,58604,79430,194458,278348
43,457,457.000,328,1264,2164,22062,43467,62082,121271,186128,310617
44,493,493.000,374,1259,2065,20072,43373,62370,79120,164757,241972
45,423,423.000,349,1311,2193,23196,43806,54492,78198,241273,306474
46,521,521.000,345,1157,2040,18961,43490,53587,78981,153009,190087
47,510,510.000,385,1305,2215,20680,43592,49934,78522,152030,221404
48,451,451.000,333,1385,2152,21242,43335,51701,120901,164428,180127
49,425,425.000,418,1397,2548,24081,43947,62663,78566,182760,235653
50,396,396.000,397,1484,2658,24581,44198,63191,111557,162660,200834
51,422,422.000,385,1293,2286,23905,43762,61931,79623,160894,243899
52,463,463.000,365,1430,2431,21825,43469,52189,80288,180774,270277
53,434,434.000,353,1271,2293,22912,43916,62637,79254,164411,347785
54,465,465.000,338,1253,2269,21666,43591,58331,78753,156552,244188
55,453,453.000,373,1267,2213,22194,43650,61080,79456,147229,295685
56,452,452.000,366,1215,2315,21808,43845,63176,81631,156697,174921
57,493,493.000,353,1385,2301,20029,43493,53495,79489,144645,161062
58,480,480.000,330,1258,2358,21131,43615,63008,78933,160911,302692
59,441,441.000,400,1353,2236,22433,43456,56394,87435,180691,275010
60,502,502.000,381,1243,2149,18250,43280,46696,78461,125575,178852
