Round	Start	End	Benchmark_Elapsed	Tuning_overhead
1	1747854665.8965042	1747854864.1882691	198.29176497459412	0.0
2	1747854864.2289338	1747855055.5223372	191.2934033870697	0.0406646728515625
3	1747855055.547172	1747855234.1997766	178.65260457992554	0.024834871292114258
4	1747855234.2727547	1747855426.4176896	192.14493489265442	0.07297801971435547
5	1747855426.4917364	1747855613.8991065	187.40737009048462	0.07404685020446777
6	1747855613.9747698	1747855805.3582923	191.38352251052856	0.07566332817077637
7	1747855805.4343119	1747856016.357096	210.92278409004211	0.0760195255279541
8	1747856016.4344983	1747856202.4271212	185.99262285232544	0.07740235328674316
9	1747856205.0869856	1747856401.4735403	196.38655471801758	2.6598644256591797
10	1747856401.543444	1747856596.5064003	194.96295642852783	0.06990361213684082
11	1747856596.5256052	1747856809.0964916	212.5708863735199	0.01920485496520996
12	1747856809.116092	1747857018.0165446	208.90045261383057	0.019600391387939453
13	1747857018.0959783	1747857221.7611585	203.66518020629883	0.07943367958068848
14	1747857221.781364	1747857431.6436667	209.86230278015137	0.02020549774169922
15	1747857431.6736085	1747857583.12883	151.45522141456604	0.029941797256469727
16	1747857583.2236736	1747857780.6203313	197.396657705307	0.09484362602233887
17	1747857780.7611685	1747857932.0955133	151.3343448638916	0.1408371925354004
18	1747857934.7296238	1747858133.8825812	199.1529574394226	2.634110450744629
19	1747858133.9531827	1747858343.7069397	209.75375699996948	0.0706014633178711
20	1747858343.7446444	1747858540.695912	196.95126748085022	0.0377047061920166
21	1747858540.7927954	1747858760.6780472	219.8852517604828	0.09688353538513184
22	1747858760.7582853	1747858968.6102087	207.85192346572876	0.08023810386657715
23	1747858968.7093506	1747859188.7532332	220.0438826084137	0.09914183616638184
24	1747859188.8255105	1747859404.5593739	215.73386335372925	0.07227730751037598
25	1747859404.6776137	1747859590.5413854	185.8637716770172	0.1182398796081543
26	1747859593.4222546	1747859754.566134	161.14387941360474	2.880869150161743
27	1747859754.6731894	1747859952.8130732	198.13988375663757	0.1070554256439209
28	1747859952.8620281	1747860154.9338646	202.07183647155762	0.04895496368408203
29	1747860155.0398314	1747860280.995834	125.95600271224976	0.10596680641174316
30	1747860281.1025484	1747860483.1409097	202.03836131095886	0.10671424865722656
31	1747860483.2519588	1747860617.512083	134.26012420654297	0.11104917526245117
32	1747860617.6215057	1747860745.37539	127.75388431549072	0.10942268371582031
33	1747860748.446145	1747860906.4023104	157.9561653137207	3.0707550048828125
34	1747860906.5055614	1747861113.1223984	206.61683702468872	0.10325098037719727
35	1747861113.1574712	1747861315.658943	202.5014717578888	0.03507280349731445
36	1747861315.686288	1747861539.4057293	223.71944117546082	0.02734518051147461
37	1747861539.5172875	1747861726.6630485	187.145761013031	0.11155819892883301
38	1747861726.779772	1747861892.8597043	166.0799322128296	0.11672353744506836
39	1747861892.8882184	1747862125.1868584	232.2986400127411	0.02851414680480957
40	1747862125.2971518	1747862257.89612	132.5989682674408	0.11029338836669922
41	1747862260.8759441	1747862442.743126	181.8671817779541	2.9798240661621094
42	1747862442.8546906	1747862636.4190228	193.5643322467804	0.11156463623046875
43	1747862636.5217423	1747862852.822092	216.30034971237183	0.10271954536437988
44	1747862852.9010324	1747863020.0695238	167.1684913635254	0.07894039154052734
45	1747863020.1932106	1747863213.98105	193.7878394126892	0.1236867904663086
