Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,1223.400,1.388,0.854,1.233,1.399,1.472,1.647,1.855,2.272,5.581,0.720
5,1231.800,1.341,0.841,1.150,1.383,1.450,1.579,1.709,2.195,5.262,0.746
10,1185.200,1.360,0.847,1.143,1.388,1.463,1.619,1.864,2.374,5.550,0.735
15,1260.200,1.312,0.818,1.114,1.371,1.437,1.537,1.623,1.973,5.507,0.762
20,1169.600,1.387,0.842,1.179,1.396,1.480,1.671,1.871,2.443,5.323,0.721
25,1226.800,1.346,0.815,1.149,1.386,1.456,1.596,1.744,2.141,6.242,0.743
30,1169.400,1.370,0.821,1.138,1.389,1.470,1.643,1.844,2.395,12.029,0.730
35,1202.600,1.376,0.848,1.170,1.403,1.481,1.656,1.833,2.262,5.812,0.727
40,1180.200,1.370,0.852,1.165,1.396,1.475,1.660,1.848,2.208,5.337,0.730
45,1191.600,1.385,0.808,1.174,1.398,1.481,1.681,1.894,2.401,5.494,0.722
50,1188.800,1.379,0.829,1.147,1.397,1.475,1.664,1.905,2.714,5.332,0.725
55,1241.800,1.322,0.837,1.092,1.376,1.444,1.548,1.654,2.043,5.523,0.756
60,246.000,1.323,0.860,1.108,1.394,1.454,1.554,1.662,1.911,5.109,0.756
