Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,110.400,30.548,26.142,28.547,29.578,31.540,34.130,36.506,47.181,53.080,0.033
5,111.600,29.918,25.482,28.035,28.927,30.536,33.640,36.914,44.014,49.187,0.033
10,112.600,30.757,25.344,28.383,29.370,31.277,35.483,38.626,51.190,57.607,0.033
15,122.000,29.472,25.669,28.177,29.032,30.266,31.905,33.353,37.237,38.745,0.034
20,111.000,31.245,25.888,28.521,29.655,32.883,36.986,40.227,44.371,46.760,0.032
25,111.000,30.438,25.239,28.452,29.409,31.146,35.288,37.720,41.458,46.533,0.033
30,116.000,30.569,26.023,28.326,29.312,31.072,34.778,38.403,48.538,55.749,0.033
35,103.000,30.923,25.871,28.556,29.760,32.003,35.962,38.712,44.591,51.181,0.032
40,108.600,31.132,25.813,28.333,29.556,32.030,37.284,41.406,48.640,50.143,0.032
45,109.000,30.982,25.780,28.468,29.625,31.813,36.180,40.686,45.957,48.658,0.032
50,108.800,30.952,26.153,28.461,29.479,32.017,35.711,38.877,49.365,64.819,0.032
55,114.600,29.756,25.321,28.170,29.071,30.453,32.880,35.617,39.237,44.780,0.034
60,22.600,30.434,26.168,28.364,29.473,31.966,34.715,37.357,38.846,39.438,0.033
