Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,2792.200,3.576,0.201,1.396,2.043,3.228,4.751,9.153,31.502,53.080,0.280
5,2875.000,3.472,0.177,1.382,2.047,3.169,4.605,8.578,30.455,49.187,0.288
10,2747.400,3.631,0.199,1.384,2.064,3.229,5.261,9.572,31.354,57.607,0.275
15,2899.400,3.447,0.174,1.366,1.957,3.075,4.284,8.568,30.380,38.745,0.290
20,2711.200,3.679,0.192,1.395,2.118,3.321,5.018,9.822,33.024,46.760,0.272
25,2829.000,3.534,0.164,1.382,2.028,3.216,4.890,8.983,31.069,46.533,0.283
30,2724.600,3.661,0.176,1.386,2.089,3.246,5.245,10.136,31.170,55.749,0.273
35,2817.800,3.549,0.185,1.401,2.106,3.294,4.911,9.009,31.649,51.181,0.282
40,2742.400,3.641,0.192,1.393,2.091,3.326,5.125,9.652,32.003,50.143,0.275
45,2740.600,3.643,0.178,1.394,2.093,3.311,5.184,9.366,31.773,48.658,0.275
50,2754.400,3.629,0.165,1.393,2.107,3.286,5.263,9.514,31.955,64.819,0.276
55,2905.000,3.441,0.173,1.373,2.001,3.145,4.469,8.581,30.439,44.780,0.291
60,561.800,3.518,0.206,1.385,1.935,3.217,4.764,9.352,31.966,39.438,0.284
