Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,15.600,231.004,107.025,135.996,223.326,336.617,368.802,374.824,429.109,429.109,0.004
5,17.600,175.397,122.354,129.650,148.134,179.389,275.772,370.790,421.926,421.926,0.006
10,17.800,150.890,120.806,127.859,136.211,157.839,201.239,267.757,306.105,306.105,0.007
15,19.600,145.668,120.884,125.699,131.945,153.503,179.543,201.558,305.277,305.277,0.007
20,18.000,156.376,121.793,128.985,141.279,159.939,219.641,252.613,402.073,402.073,0.006
25,20.200,143.488,122.044,126.690,135.165,149.422,170.661,188.124,242.568,248.490,0.007
30,16.800,142.089,121.019,125.988,136.856,151.525,172.360,176.350,219.834,219.834,0.007
35,17.800,152.134,121.414,125.762,130.653,154.483,202.370,276.124,416.574,416.574,0.007
40,17.800,144.845,120.676,125.819,134.863,154.397,174.078,200.813,297.963,297.963,0.007
45,17.200,152.376,121.068,126.871,141.881,156.835,186.737,240.368,348.128,348.128,0.007
50,18.200,155.338,121.838,126.943,137.169,160.290,194.527,279.984,379.766,379.766,0.006
55,19.400,146.361,120.146,125.009,131.445,159.032,191.724,210.669,293.918,293.918,0.007
60,3.400,135.233,122.331,125.706,128.135,144.442,163.811,164.875,164.875,164.875,0.007
