Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,367.200,27.588,0.419,2.287,4.005,44.644,57.650,88.184,342.714,608.442,0.036
5,409.600,23.985,0.363,1.904,3.290,44.313,56.997,82.131,206.761,421.926,0.042
10,443.000,22.575,0.355,1.885,3.204,44.126,56.689,80.140,157.839,306.105,0.044
15,426.000,23.487,0.367,1.711,3.065,44.140,60.792,82.458,157.090,305.277,0.043
20,449.600,22.339,0.364,1.644,2.858,43.885,58.044,79.629,159.939,402.073,0.045
25,442.600,22.543,0.378,1.672,2.914,43.824,60.857,82.740,155.535,248.490,0.044
30,455.000,21.938,0.333,1.603,2.777,43.977,60.043,79.624,149.522,219.834,0.046
35,444.400,22.464,0.355,1.494,2.703,43.794,57.254,78.689,154.483,416.574,0.045
40,446.800,22.456,0.357,1.631,2.732,43.828,58.837,79.514,154.397,297.963,0.045
45,452.000,21.992,0.344,1.531,2.675,43.798,56.115,79.204,156.236,348.128,0.045
50,446.600,22.453,0.361,1.521,2.621,43.831,56.374,78.600,160.290,379.766,0.045
55,451.000,22.131,0.355,1.521,2.610,43.797,58.646,80.770,159.657,293.918,0.045
60,95.400,19.565,0.343,1.273,2.311,43.465,55.306,78.858,144.442,164.875,0.051
