Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,16.000,48.799,13.994,25.829,52.318,58.919,80.841,93.593,102.458,102.458,0.020
5,16.600,48.853,14.196,20.076,58.118,64.490,72.873,92.243,118.948,118.948,0.020
10,17.200,51.317,18.974,20.970,62.404,64.602,71.522,77.603,113.189,113.189,0.019
15,19.400,54.101,19.163,20.780,62.805,64.815,76.747,106.680,164.489,164.489,0.018
20,19.600,51.963,18.914,20.346,62.781,64.605,77.706,89.109,113.405,113.405,0.019
25,20.200,52.316,18.739,21.262,62.835,64.834,72.030,81.107,108.971,110.878,0.019
30,15.600,50.502,19.156,20.535,62.037,64.825,73.858,98.898,121.841,121.841,0.020
35,18.400,54.686,18.955,24.980,62.770,66.092,89.386,107.226,114.400,114.400,0.018
40,19.400,56.361,18.785,22.409,62.645,65.381,91.621,109.510,120.933,120.933,0.018
45,19.400,47.626,19.066,19.746,33.627,64.069,82.104,107.318,118.939,118.939,0.021
50,19.400,48.486,19.108,20.074,61.671,63.612,70.258,84.439,116.932,116.932,0.021
55,20.000,51.481,18.973,20.254,62.253,65.316,77.388,97.279,111.511,111.511,0.019
60,3.000,53.460,19.373,19.595,61.424,65.205,81.173,105.688,105.688,105.688,0.019
