Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,190.600,31.752,0.423,0.859,43.886,45.707,58.610,77.448,80.192,131.442,0.031
5,200.800,30.036,0.389,0.593,43.592,45.261,56.972,77.435,80.777,139.553,0.033
10,196.000,30.295,0.322,0.602,43.479,45.066,59.848,78.188,80.460,85.708,0.033
15,190.600,29.727,0.323,0.592,43.454,44.645,56.939,77.865,79.731,81.389,0.034
20,198.800,29.455,0.375,0.606,43.410,44.649,52.727,76.364,79.911,83.254,0.034
25,196.200,30.419,0.354,0.620,43.593,44.935,56.411,76.345,81.797,131.236,0.033
30,200.600,29.173,0.331,0.555,43.366,44.762,56.415,77.659,80.375,93.052,0.034
35,193.200,30.263,0.369,0.573,43.372,44.634,54.692,76.251,80.184,89.981,0.033
40,193.800,31.446,0.341,0.576,43.562,44.976,58.873,78.096,80.220,87.508,0.032
45,194.600,31.394,0.333,0.570,43.537,44.646,55.707,76.872,80.379,130.320,0.032
50,201.200,30.416,0.356,0.546,43.426,44.848,59.918,78.001,79.957,86.794,0.033
55,193.400,29.942,0.318,0.556,43.339,44.991,58.829,77.771,80.164,132.549,0.033
60,36.000,29.119,0.375,0.535,43.292,44.773,48.050,78.259,79.587,80.812,0.034
